x,y,ID,DIRECTION_MAX_GUST,MIN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS_FLAG,TOTAL_RAIN_FLAG,MAX_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST_FLAG,MAX_TEMPERATURE,TOTAL_SNOW_FLAG,MIN_REL_HUMIDITY,MAX_TEMPERATURE_FLAG,MAX_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE_FLAG,STATION_NAME,LOCAL_YEAR,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,MIN_TEMPERATURE,SPEED_MAX_GUST,CLIMATE_IDENTIFIER,TOTAL_PRECIPITATION_FLAG,LOCAL_DAY,SNOW_ON_GROUND,COOLING_DEGREE_DAYS,TOTAL_RAIN,HEATING_DEGREE_DAYS,PROVINCE_CODE,LOCAL_DATE,LOCAL_MONTH
-115.06666666666666,51.083333333333336,3050778.1993.6.4,,E,,,M,M,,M,M,,,,M,,,M,M,BOW VALLEY,1993,,,-2,,3050778,M,4,,,,,AB,1993-06-04 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.7,0,,8.1,0,,M,,,,16.7,M,,,,,,,BOW VALLEY,1993,,,-0.6,0,3050778,,7,,0,,9.9,AB,1993-06-07 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.8,25,,10.2,4,,M,,,,15.2,M,,,,,,,BOW VALLEY,1993,,,5.1,33,3050778,,8,,0,,7.8,AB,1993-06-08 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.9,23,,12.4,0,,M,,,,17.3,M,,,,,,,BOW VALLEY,1993,,,7.4,37,3050778,,9,,0,,5.6,AB,1993-06-09 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.10,24,,10.4,0,,M,,,,17.1,M,,,,,,,BOW VALLEY,1993,,,3.6,39,3050778,,10,,0,,7.6,AB,1993-06-10 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.11,0,,8.8,1.2,,M,,,,13.7,M,,,,,,,BOW VALLEY,1993,,,3.9,0,3050778,,11,,0,,9.2,AB,1993-06-11 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.12,18,,5.1,44.3,,M,,,,8.3,M,,,,,,,BOW VALLEY,1993,,,1.9,37,3050778,,12,,0,,12.9,AB,1993-06-12 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.13,30,,10.4,0.4,,M,,,,17.6,M,,,,,,,BOW VALLEY,1993,,,3.2,37,3050778,,13,,0,,7.6,AB,1993-06-13 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.14,22,,10.5,1,,M,,,,19.2,M,,,,,,,BOW VALLEY,1993,,,1.8,41,3050778,,14,,0,,7.5,AB,1993-06-14 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.15,0,,9.7,17.8,,M,,,,12.4,M,,,,,,,BOW VALLEY,1993,,,7,0,3050778,,15,,0,,8.3,AB,1993-06-15 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.16,0,,10.1,8,,M,,,,14.8,M,,,,,,,BOW VALLEY,1993,,,5.3,0,3050778,,16,,0,,7.9,AB,1993-06-16 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.17,27,,11.6,0,,M,,,,19,M,,,,,,,BOW VALLEY,1993,,,4.1,32,3050778,,17,,0,,6.4,AB,1993-06-17 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.18,22,,15,0,,M,,,,23.8,M,,,,,,,BOW VALLEY,1993,,,6.2,41,3050778,,18,,0,,3,AB,1993-06-18 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.20,0,,14.6,0,,M,,,,25.3,M,,,,,,,BOW VALLEY,1993,,,3.9,0,3050778,,20,,0,,3.4,AB,1993-06-20 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.21,24,,14.1,0.2,,M,,,,21.6,M,,,,,,,BOW VALLEY,1993,,,6.6,41,3050778,,21,,0,,3.9,AB,1993-06-21 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.22,24,,11.2,0.4,,M,,,,16.9,M,,,,,,,BOW VALLEY,1993,,,5.5,61,3050778,,22,,0,,6.8,AB,1993-06-22 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.23,27,,8.1,0,,M,,,,9.9,M,,,,,,,BOW VALLEY,1993,,,6.3,70,3050778,,23,,0,,9.9,AB,1993-06-23 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.24,0,,10.7,0,,M,,,,16.2,M,,,,,,,BOW VALLEY,1993,,,5.2,0,3050778,,24,,0,,7.3,AB,1993-06-24 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.25,23,,11.3,0,,M,,,,20.4,M,,,,,,,BOW VALLEY,1993,,,2.1,41,3050778,,25,,0,,6.7,AB,1993-06-25 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.26,23,,12.9,0,,M,,,,24.4,M,,,,,,,BOW VALLEY,1993,,,1.4,32,3050778,,26,,0,,5.1,AB,1993-06-26 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.27,26,,12.7,1.4,,M,,,,17.9,M,,,,,,,BOW VALLEY,1993,,,7.4,41,3050778,,27,,0,,5.3,AB,1993-06-27 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.28,25,,12.7,0.4,,M,,,,19.2,M,,,,,,,BOW VALLEY,1993,,,6.1,35,3050778,,28,,0,,5.3,AB,1993-06-28 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.29,0,,7.4,37.8,,M,,,,10,M,,,,,,,BOW VALLEY,1993,,,4.8,0,3050778,,29,,0,,10.6,AB,1993-06-29 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.6.30,29,,11.9,0.2,,M,,,,18.8,M,,,,,,,BOW VALLEY,1993,,,5,39,3050778,,30,,0,,6.1,AB,1993-06-30 00:00:00,6
-115.06666666666666,51.083333333333336,3050778.1993.7.1,23,,11.8,0,,M,,,,19.6,M,,,,,,,BOW VALLEY,1993,,,3.9,37,3050778,,1,,0,,6.2,AB,1993-07-01 00:00:00,7
-115.06666666666666,51.083333333333336,3050778.1993.7.2,0,,9.6,1.8,,M,,,,16.4,M,,,,,,,BOW VALLEY,1993,,,2.7,0,3050778,,2,,0,,8.4,AB,1993-07-02 00:00:00,7
-115.06666666666666,51.083333333333336,3050778.1993.7.3,2,,10.7,5.6,,M,,,,14.7,M,,,,,,,BOW VALLEY,1993,,,6.6,32,3050778,,3,,0,,7.3,AB,1993-07-03 00:00:00,7
-115.06666666666666,51.083333333333336,3050778.1993.7.4,28,,10.8,5.2,,M,,,,15.8,M,,,,,,,BOW VALLEY,1993,,,5.7,50,3050778,,4,,0,,7.2,AB,1993-07-04 00:00:00,7
-115.06666666666666,51.083333333333336,3050778.1993.7.5,25,,11.2,5,,M,,,,13.7,M,,,,,,,BOW VALLEY,1993,,,8.6,39,3050778,,5,,0,,6.8,AB,1993-07-05 00:00:00,7
-115.06666666666666,51.083333333333336,3050778.1993.7.6,0,,12.8,9.2,,M,,,,17.4,M,,,,,,,BOW VALLEY,1993,,,8.2,0,3050778,,6,,0,,5.2,AB,1993-07-06 00:00:00,7
-115.06666666666666,51.083333333333336,3050778.1993.7.7,0,,11.6,10.4,,M,,,,15.4,M,,,,,,,BOW VALLEY,1993,,,7.7,0,3050778,,7,,0,,6.4,AB,1993-07-07 00:00:00,7
-115.06666666666666,51.083333333333336,3050778.1993.7.8,27,,11.5,13.6,,M,,,,15.1,M,,,,,,,BOW VALLEY,1993,,,7.9,35,3050778,,8,,0,,6.5,AB,1993-07-08 00:00:00,7
-115.06666666666666,51.083333333333336,3050778.1993.7.9,0,,8.9,2.8,,M,,,,11.8,M,,,,,,,BOW VALLEY,1993,,,5.9,0,3050778,,9,,0,,9.1,AB,1993-07-09 00:00:00,7
-115.06666666666666,51.083333333333336,3050778.1993.7.10,0,,10.1,0.6,,M,,,,15,M,,,,,,,BOW VALLEY,1993,,,5.1,0,3050778,,10,,0,,7.9,AB,1993-07-10 00:00:00,7
-115.06666666666666,51.083333333333336,3050778.1993.7.11,0,,8.1,22.8,,M,,,,10.2,M,,,,,,,BOW VALLEY,1993,,,5.9,0,3050778,,11,,0,,9.9,AB,1993-07-11 00:00:00,7
-115.06666666666666,51.083333333333336,3050778.1993.7.12,0,,7,23.2,,M,,,,8.7,M,,,,,,,BOW VALLEY,1993,,,5.2,0,3050778,,12,,0,,11,AB,1993-07-12 00:00:00,7
-115.06666666666666,51.083333333333336,3050778.1993.7.13,0,,10.5,0,,M,,,,17.1,M,,,,,,,BOW VALLEY,1993,,,3.9,0,3050778,,13,,0,,7.5,AB,1993-07-13 00:00:00,7
-115.06666666666666,51.083333333333336,3050778.1993.7.14,0,,7.2,0.2,,M,,,,15.6,M,,,,,,,BOW VALLEY,1993,,,-1.3,0,3050778,,14,,0,,10.8,AB,1993-07-14 00:00:00,7
-115.06666666666666,51.083333333333336,3050778.1993.7.15,0,,6.5,0.4,,M,,,,14.7,M,,,,,,,BOW VALLEY,1993,,,-1.8,0,3050778,,15,,0,,11.5,AB,1993-07-15 00:00:00,7
-115.06666666666666,51.083333333333336,3050778.1993.7.16,3,,7.7,0.6,,M,,,,15.6,M,,,,,,,BOW VALLEY,1993,,,-0.2,32,3050778,,16,,0,,10.3,AB,1993-07-16 00:00:00,7
-115.06666666666666,51.083333333333336,3050778.1993.7.17,0,,9.5,0,,M,,,,16.9,M,,,,,,,BOW VALLEY,1993,,,2.1,0,3050778,,17,,0,,8.5,AB,1993-07-17 00:00:00,7
-115.06666666666666,51.083333333333336,3050778.1993.7.18,33,,10.5,0.6,,M,,,,19,M,,,,,,,BOW VALLEY,1993,,,1.9,32,3050778,,18,,0,,7.5,AB,1993-07-18 00:00:00,7
-115.06666666666666,51.083333333333336,3050778.1993.7.19,18,,13.5,4.6,,M,,,,20.3,M,,,,,,,BOW VALLEY,1993,,,6.6,63,3050778,,19,,0,,4.5,AB,1993-07-19 00:00:00,7
-115.06666666666666,51.083333333333336,3050778.1993.7.20,0,,11,14.6,,M,,,,13.6,M,,,,,,,BOW VALLEY,1993,,,8.3,0,3050778,,20,,0,,7,AB,1993-07-20 00:00:00,7
