x,y,MAX_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,TOTAL_SNOW,PROVINCE_CODE,TOTAL_SNOW_FLAG,TOTAL_RAIN,DIRECTION_MAX_GUST_FLAG,LOCAL_YEAR,LOCAL_MONTH,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY_FLAG,LOCAL_DAY,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,COOLING_DEGREE_DAYS,MAX_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,ID,LOCAL_DATE,MEAN_TEMPERATURE,MIN_TEMPERATURE_FLAG,TOTAL_RAIN_FLAG,DIRECTION_MAX_GUST,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY,HEATING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST,CLIMATE_IDENTIFIER,SNOW_ON_GROUND_FLAG,SNOW_ON_GROUND,SPEED_MAX_GUST_FLAG,STATION_NAME,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS
-115.06666666666666,51.083333333333336,,34,,AB,,,,2021,3,,,28,,-3.2,0,10.2,M,3050778.2021.3.28,2021-03-28 00:00:00,3.5,,,28,,94,,70,3050778,,,,BOW VALLEY,,14.5
-115.06666666666666,51.083333333333336,,50,,AB,,,,2021,3,,,29,,-10.1,0,-0.8,M,3050778.2021.3.29,2021-03-29 00:00:00,-5.5,,,8,,91,,54,3050778,,,,BOW VALLEY,,23.5
-115.06666666666666,51.083333333333336,,31,,AB,,,,2021,3,,,30,,-17.8,0,1.4,M,3050778.2021.3.30,2021-03-30 00:00:00,-8.2,,,25,,86,,46,3050778,,,,BOW VALLEY,,26.2
-115.06666666666666,51.083333333333336,,24,,AB,,,,2021,3,,,31,,-2.2,0,8.9,M,3050778.2021.3.31,2021-03-31 00:00:00,3.3,,,25,,53,,45,3050778,,,,BOW VALLEY,,14.7
-115.06666666666666,51.083333333333336,,18,,AB,,,,2021,4,,,1,,3.8,0,11.4,M,3050778.2021.4.1,2021-04-01 00:00:00,7.6,,,28,,58,,54,3050778,,,,BOW VALLEY,,10.4
-115.06666666666666,51.083333333333336,,19,,AB,,,,2021,4,,,2,,-0.7,0,11.4,M,3050778.2021.4.2,2021-04-02 00:00:00,5.3,,,24,,73,,51,3050778,,,,BOW VALLEY,,12.7
-115.06666666666666,51.083333333333336,,20,,AB,,,,2021,4,,,3,,-5.6,0,13.2,M,3050778.2021.4.3,2021-04-03 00:00:00,3.8,,,24,,77,,37,3050778,,,,BOW VALLEY,,14.2
-115.06666666666666,51.083333333333336,,29,,AB,,,,2021,4,,,4,,-4.3,0,8.8,M,3050778.2021.4.4,2021-04-04 00:00:00,2.2,,,24,,94,,31,3050778,,,,BOW VALLEY,,15.8
-115.06666666666666,51.083333333333336,,22,,AB,,,,2021,4,,,5,,-7.3,0,11.2,M,3050778.2021.4.5,2021-04-05 00:00:00,2,,,26,,94,,43,3050778,,,,BOW VALLEY,,16
-115.06666666666666,51.083333333333336,,15,,AB,,,,2021,4,,,6,,-1.4,0,13.8,M,3050778.2021.4.6,2021-04-06 00:00:00,6.2,,,26,,54,,40,3050778,,,,BOW VALLEY,,11.8
-115.06666666666666,51.083333333333336,,25,,AB,,,,2021,4,,,7,,1.6,0,11.1,M,3050778.2021.4.7,2021-04-07 00:00:00,6.4,,,27,,66,,62,3050778,,,,BOW VALLEY,,11.6
-115.06666666666666,51.083333333333336,,38,,AB,,,,2021,4,,,8,,-4.3,0,3.5,M,3050778.2021.4.8,2021-04-08 00:00:00,-0.4,,,,,77,,,3050778,,,,BOW VALLEY,,18.4
-115.06666666666666,51.083333333333336,,28,,AB,,,,2021,4,,,9,,-1.6,0,7.5,M,3050778.2021.4.9,2021-04-09 00:00:00,2.9,,,24,,81,,52,3050778,,,,BOW VALLEY,,15.1
-115.06666666666666,51.083333333333336,,20,,AB,,,,2021,4,,,10,,-6.5,0,5.5,M,3050778.2021.4.10,2021-04-10 00:00:00,-0.5,,,23,,85,,36,3050778,,,,BOW VALLEY,,18.5
-115.06666666666666,51.083333333333336,,29,,AB,,,,2021,4,,,11,,-12.9,0,4.5,M,3050778.2021.4.11,2021-04-11 00:00:00,-4.2,,,,,91,,,3050778,,,,BOW VALLEY,,22.2
-115.06666666666666,51.083333333333336,,49,,AB,,,,2021,4,,,12,,-8,0,1.3,M,3050778.2021.4.12,2021-04-12 00:00:00,-3.4,,,,,92,,,3050778,,,,BOW VALLEY,,21.4
-115.06666666666666,51.083333333333336,,22,,AB,,,,2021,4,,,13,,-15.2,0,8.4,M,3050778.2021.4.13,2021-04-13 00:00:00,-3.4,,,26,,90,,34,3050778,,,,BOW VALLEY,,21.4
-115.06666666666666,51.083333333333336,,14,,AB,,,,2021,4,,,14,,-10.3,0,14.1,M,3050778.2021.4.14,2021-04-14 00:00:00,1.9,,,,,90,,,3050778,,,,BOW VALLEY,,16.1
-115.06666666666666,51.083333333333336,,17,,AB,,,,2021,4,,,15,,-7.8,0,15.1,M,3050778.2021.4.15,2021-04-15 00:00:00,3.6,,,8,,86,,32,3050778,,,,BOW VALLEY,,14.4
-115.06666666666666,51.083333333333336,,11,,AB,,,,2021,4,,,16,,-6,0,19.1,M,3050778.2021.4.16,2021-04-16 00:00:00,6.5,,,25,,82,,38,3050778,,,,BOW VALLEY,,11.5
-115.06666666666666,51.083333333333336,,10,,AB,,,,2021,4,,,17,,-3.8,0,20.7,M,3050778.2021.4.17,2021-04-17 00:00:00,8.4,,,23,,69,,39,3050778,,,,BOW VALLEY,,9.6
-115.06666666666666,51.083333333333336,,65,,AB,,,,2021,4,,,18,,-4.9,0,2.3,M,3050778.2021.4.18,2021-04-18 00:00:00,-1.3,,,,,93,,,3050778,,,,BOW VALLEY,,19.3
-115.06666666666666,51.083333333333336,,40,,AB,,,,2021,4,,,19,,-5.5,0,5.9,M,3050778.2021.4.19,2021-04-19 00:00:00,0.2,,,,,92,,,3050778,,,,BOW VALLEY,,17.8
-115.06666666666666,51.083333333333336,,19,,AB,,,,2021,4,,,20,,-7.2,0,13,M,3050778.2021.4.20,2021-04-20 00:00:00,2.9,,,,,91,,,3050778,,,,BOW VALLEY,,15.1
-115.06666666666666,51.083333333333336,,15,,AB,,,,2021,4,,,21,,-2.5,0,16.8,M,3050778.2021.4.21,2021-04-21 00:00:00,7.1,,,26,,54,,36,3050778,,,,BOW VALLEY,,10.9
-115.06666666666666,51.083333333333336,,52,,AB,,,,2021,4,,,22,,-5.1,0,7.6,M,3050778.2021.4.22,2021-04-22 00:00:00,1.2,,,,,93,,,3050778,,,,BOW VALLEY,,16.8
-115.06666666666666,51.083333333333336,,63,,AB,,,,2021,4,,,23,,-6.3,0,1.4,M,3050778.2021.4.23,2021-04-23 00:00:00,-2.5,,,,,92,,,3050778,,,,BOW VALLEY,,20.5
-115.06666666666666,51.083333333333336,,68,,AB,,,,2021,4,,,24,,-3.7,0,1,M,3050778.2021.4.24,2021-04-24 00:00:00,-1.4,,,,,92,,,3050778,,,,BOW VALLEY,,19.4
-115.06666666666666,51.083333333333336,,71,,AB,,,,2021,4,,,25,,-2.8,0,2.6,M,3050778.2021.4.25,2021-04-25 00:00:00,-0.1,,,,,94,,,3050778,,,,BOW VALLEY,,18.1
-115.06666666666666,51.083333333333336,,22,,AB,,,,2021,4,,,26,,-3.7,0,11.6,M,3050778.2021.4.26,2021-04-26 00:00:00,3.9,,,24,,94,,42,3050778,,,,BOW VALLEY,,14.1
-115.06666666666666,51.083333333333336,,21,,AB,,,,2021,4,,,27,,1.4,0,14.4,M,3050778.2021.4.27,2021-04-27 00:00:00,7.9,,,24,,65,,35,3050778,,,,BOW VALLEY,,10.1
-115.06666666666666,51.083333333333336,,26,,AB,,,,2021,4,,,28,,-2.8,0,14.9,M,3050778.2021.4.28,2021-04-28 00:00:00,6,,,25,,81,,45,3050778,,,,BOW VALLEY,,12
-115.06666666666666,51.083333333333336,,30,,AB,,,,2021,4,,,29,,8.6,0,18.4,M,3050778.2021.4.29,2021-04-29 00:00:00,13.5,,,25,,51,,37,3050778,,,,BOW VALLEY,,4.5
-115.06666666666666,51.083333333333336,,24,,AB,,,,2021,4,,,30,,10.2,0,18.4,M,3050778.2021.4.30,2021-04-30 00:00:00,14.3,,,27,,38,,57,3050778,,,,BOW VALLEY,,3.7
-115.06666666666666,51.083333333333336,,21,,AB,,,,2021,5,,,1,,-1.8,0,13.9,M,3050778.2021.5.1,2021-05-01 00:00:00,6.1,,,6,,93,,38,3050778,,,,BOW VALLEY,,11.9
-115.06666666666666,51.083333333333336,,31,,AB,,,,2021,5,,,2,,-1.6,0,11.7,M,3050778.2021.5.2,2021-05-02 00:00:00,5.1,,,,,94,,,3050778,,,,BOW VALLEY,,12.9
-115.06666666666666,51.083333333333336,,23,,AB,,,,2021,5,,,3,,-5,0,13.2,M,3050778.2021.5.3,2021-05-03 00:00:00,4.1,,,28,,95,,36,3050778,,,,BOW VALLEY,,13.9
-115.06666666666666,51.083333333333336,,27,,AB,,,,2021,5,,,4,,-0.1,0,14.3,M,3050778.2021.5.4,2021-05-04 00:00:00,7.1,,,6,,94,,35,3050778,,,,BOW VALLEY,,10.9
-115.06666666666666,51.083333333333336,,24,,AB,,,,2021,5,,,5,,0.5,0,15.1,M,3050778.2021.5.5,2021-05-05 00:00:00,7.8,,,,,95,,,3050778,,,,BOW VALLEY,,10.2
-115.06666666666666,51.083333333333336,,20,,AB,,,,2021,5,,,6,,-1.6,0,20.2,M,3050778.2021.5.6,2021-05-06 00:00:00,9.3,,,26,,83,,32,3050778,,,,BOW VALLEY,,8.7
-115.06666666666666,51.083333333333336,,23,,AB,,,,2021,5,,,7,,1.3,0,16,M,3050778.2021.5.7,2021-05-07 00:00:00,8.6,,,25,,86,,35,3050778,,,,BOW VALLEY,,9.4
-115.06666666666666,51.083333333333336,,75,,AB,,,,2021,5,,,8,,0.3,0,5.2,M,3050778.2021.5.8,2021-05-08 00:00:00,2.7,,,,,95,,,3050778,,,,BOW VALLEY,,15.3
-115.06666666666666,51.083333333333336,,80,,AB,,,,2021,5,,,9,,-0.8,0,3.6,M,3050778.2021.5.9,2021-05-09 00:00:00,1.4,,,,,95,,,3050778,,,,BOW VALLEY,,16.6
-115.06666666666666,51.083333333333336,,27,,AB,,,,2021,5,,,10,,-2.1,0,13.9,M,3050778.2021.5.10,2021-05-10 00:00:00,5.9,,,25,,95,,38,3050778,,,,BOW VALLEY,,12.1
