x,y,TOTAL_RAIN,COOLING_DEGREE_DAYS_FLAG,LOCAL_MONTH,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,DIRECTION_MAX_GUST,COOLING_DEGREE_DAYS,STATION_NAME,LOCAL_DAY,ID,TOTAL_PRECIPITATION,LOCAL_DATE,PROVINCE_CODE,SNOW_ON_GROUND_FLAG,MEAN_TEMPERATURE,MIN_TEMPERATURE,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY_FLAG,LOCAL_YEAR,MEAN_TEMPERATURE_FLAG,SNOW_ON_GROUND,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN_FLAG,TOTAL_SNOW,MIN_REL_HUMIDITY,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY
-114.01333333333334,51.1225,0.4,,7,,,35,,6,3.3,CALGARY INTL A,12,3031092.2012.7.12,0.4,2012-07-12 00:00:00,AB,,21.3,15.3,,,0,,,2012,,,,,0,,27.3,,3031092,
-114.01333333333334,51.1225,0.2,,7,,,39,,6,2.6,CALGARY INTL A,13,3031092.2012.7.13,0.2,2012-07-13 00:00:00,AB,,20.6,15.6,,,0,,,2012,,,,,0,,25.6,,3031092,
-114.01333333333334,51.1225,0,,7,,,33,,31,0.8,CALGARY INTL A,14,3031092.2012.7.14,0,2012-07-14 00:00:00,AB,,18.8,16.2,,,0,,,2012,,,T,T,0,,21.4,,3031092,
-114.01333333333334,51.1225,26.2,,7,,,37,,33,0,CALGARY INTL A,15,3031092.2012.7.15,26.2,2012-07-15 00:00:00,AB,,16.1,13.7,,,1.9,,,2012,,,,,0,,18.4,,3031092,
-114.01333333333334,51.1225,0.6,,7,,,37,,33,0,CALGARY INTL A,16,3031092.2012.7.16,0.6,2012-07-16 00:00:00,AB,,17.2,14.9,,,0.8,,,2012,,,,,0,,19.4,,3031092,
-114.01333333333334,51.1225,0,,7,,,37,,18,1.5,CALGARY INTL A,17,3031092.2012.7.17,0,2012-07-17 00:00:00,AB,,19.5,14.7,,,0,,,2012,,,T,T,0,,24.3,,3031092,
-114.01333333333334,51.1225,0,,7,,,50,,26,3.9,CALGARY INTL A,18,3031092.2012.7.18,0,2012-07-18 00:00:00,AB,,21.9,15.9,,,0,,,2012,,,,,0,,27.8,,3031092,
-114.01333333333334,51.1225,0,,7,,,32,,6,0,CALGARY INTL A,19,3031092.2012.7.19,0,2012-07-19 00:00:00,AB,,18,12.3,,,0,,,2012,,,,,0,,23.7,,3031092,
-114.01333333333334,51.1225,1.8,,7,,,74,,20,0.4,CALGARY INTL A,20,3031092.2012.7.20,1.8,2012-07-20 00:00:00,AB,,18.4,13.8,,,0,,,2012,,,,,0,,22.9,,3031092,
-114.01333333333334,51.1225,0,,7,,,57,,26,0.7,CALGARY INTL A,21,3031092.2012.7.21,0,2012-07-21 00:00:00,AB,,18.7,11.8,,,0,,,2012,,,,,0,,25.6,,3031092,
-114.01333333333334,51.1225,0,,7,,,41,,16,0,CALGARY INTL A,22,3031092.2012.7.22,0,2012-07-22 00:00:00,AB,,16.7,8.5,,,1.3,,,2012,,,,,0,,24.8,,3031092,
-114.01333333333334,51.1225,5.4,,7,,,72,,25,0,CALGARY INTL A,23,3031092.2012.7.23,5.4,2012-07-23 00:00:00,AB,,17.7,12.2,,,0.3,,,2012,,,,,0,,23.2,,3031092,
-114.01333333333334,51.1225,1.2,,7,,,63,,31,0,CALGARY INTL A,24,3031092.2012.7.24,1.2,2012-07-24 00:00:00,AB,,15.9,10.9,,,2.1,,,2012,,,,,0,,20.9,,3031092,
-114.01333333333334,51.1225,1,,7,,,52,,33,0,CALGARY INTL A,25,3031092.2012.7.25,1,2012-07-25 00:00:00,AB,,17.9,12.9,,,0.1,,,2012,,,,,0,,22.8,,3031092,
-114.01333333333334,51.1225,0,,7,,,44,,23,0,CALGARY INTL A,26,3031092.2012.7.26,0,2012-07-26 00:00:00,AB,,16.5,10.1,,,1.5,,,2012,,,,,0,,22.8,,3031092,
-114.01333333333334,51.1225,0,,7,,,39,,21,1.4,CALGARY INTL A,27,3031092.2012.7.27,0,2012-07-27 00:00:00,AB,,19.4,10.7,,,0,,,2012,,,,,0,,28.1,,3031092,
-114.01333333333334,51.1225,0.8,,7,,,74,,3,1.4,CALGARY INTL A,28,3031092.2012.7.28,0.8,2012-07-28 00:00:00,AB,,19.4,13.8,,,0,,,2012,,,,,0,,25,,3031092,
-114.01333333333334,51.1225,0,,7,,,35,,17,0.1,CALGARY INTL A,29,3031092.2012.7.29,0,2012-07-29 00:00:00,AB,,18.1,10.4,,,0,,,2012,,,,,0,,25.8,,3031092,
-114.01333333333334,51.1225,0,,7,,,61,,1,2.1,CALGARY INTL A,30,3031092.2012.7.30,0,2012-07-30 00:00:00,AB,,20.1,10.8,,,0,,,2012,,,,,0,,29.3,,3031092,
-114.01333333333334,51.1225,0.8,,7,,,50,,36,0,CALGARY INTL A,31,3031092.2012.7.31,0.8,2012-07-31 00:00:00,AB,,18,10.7,,,0,,,2012,,,,,0,,25.3,,3031092,
-114.01333333333334,51.1225,1.8,,8,,,35,,22,0,CALGARY INTL A,1,3031092.2012.8.1,1.8,2012-08-01 00:00:00,AB,,17,10.7,,,1,,,2012,,,,,0,,23.3,,3031092,
-114.01333333333334,51.1225,5.4,,8,,,59,,34,0,CALGARY INTL A,2,3031092.2012.8.2,5.4,2012-08-02 00:00:00,AB,,13.5,8.9,,,4.5,,,2012,,,,,0,,18.1,,3031092,
-114.01333333333334,51.1225,0.4,,8,,,43,,30,0,CALGARY INTL A,3,3031092.2012.8.3,0.4,2012-08-03 00:00:00,AB,,14.2,7.3,,,3.8,,,2012,,,,,0,,21,,3031092,
-114.01333333333334,51.1225,0,,8,,,39,,20,2.1,CALGARY INTL A,4,3031092.2012.8.4,0,2012-08-04 00:00:00,AB,,20.1,13.5,,,0,,,2012,,,,,0,,26.6,,3031092,
