x,y,SNOW_ON_GROUND,TOTAL_RAIN,HEATING_DEGREE_DAYS_FLAG,CLIMATE_IDENTIFIER,LOCAL_MONTH,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,PROVINCE_CODE,ID,SPEED_MAX_GUST,MAX_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY_FLAG,STATION_NAME,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,COOLING_DEGREE_DAYS,TOTAL_SNOW,TOTAL_RAIN_FLAG,TOTAL_SNOW_FLAG,MIN_REL_HUMIDITY_FLAG,LOCAL_DATE,MEAN_TEMPERATURE_FLAG,LOCAL_DAY,MIN_REL_HUMIDITY,SNOW_ON_GROUND_FLAG,MEAN_TEMPERATURE,LOCAL_YEAR,HEATING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,TOTAL_PRECIPITATION,DIRECTION_MAX_GUST,MIN_TEMPERATURE_FLAG,MIN_TEMPERATURE
-110.28333333333333,54.416666666666664,0,0,,3081680,4,19.1,,AB,3081680.1980.4.18,50,57,,,COLD LAKE A,,T,0,0,T,,,1980-04-18 00:00:00,,18,21,,13.1,1980,4.9,,0,29,,7
-110.28333333333333,54.416666666666664,0,0,,3081680,4,23.9,,AB,3081680.1980.4.19,37,65,,,COLD LAKE A,,,0,0,,,,1980-04-19 00:00:00,,19,21,,14.5,1980,3.5,,0,23,,5.1
-110.28333333333333,54.416666666666664,0,1.6,,3081680,4,22,,AB,3081680.1980.4.20,44,71,,,COLD LAKE A,,,0,0,,,,1980-04-20 00:00:00,,20,30,,14,1980,4,,1.6,33,,5.9
-110.28333333333333,54.416666666666664,0,0,,3081680,4,11.6,,AB,3081680.1980.4.21,44,66,,,COLD LAKE A,,T,0,0,T,,,1980-04-21 00:00:00,,21,24,,7.6,1980,10.4,,0,27,,3.6
-110.28333333333333,54.416666666666664,0,0,,3081680,4,17.4,,AB,3081680.1980.4.22,44,74,,,COLD LAKE A,,,0,0,,,,1980-04-22 00:00:00,,22,19,,7.7,1980,10.3,,0,20,,-2
-110.28333333333333,54.416666666666664,0,0,,3081680,4,21.4,,AB,3081680.1980.4.23,37,47,,,COLD LAKE A,,T,0,0,T,,,1980-04-23 00:00:00,,23,24,,14.5,1980,3.5,,0,18,,7.5
-110.28333333333333,54.416666666666664,0,0,,3081680,4,21.4,,AB,3081680.1980.4.24,46,65,,,COLD LAKE A,,,0,0,,,,1980-04-24 00:00:00,,24,17,,13.1,1980,4.9,,0,14,,4.8
-110.28333333333333,54.416666666666664,0,0,,3081680,4,26.6,,AB,3081680.1980.4.25,41,40,,,COLD LAKE A,,,0,0,,,,1980-04-25 00:00:00,,25,12,,17.9,1980,0.1,,0,15,,9.2
-110.28333333333333,54.416666666666664,0,0,,3081680,4,25.6,,AB,3081680.1980.4.26,46,43,,,COLD LAKE A,,,0,0,,,,1980-04-26 00:00:00,,26,12,,16.7,1980,1.3,,0,19,,7.7
-110.28333333333333,54.416666666666664,0,0,,3081680,4,26.2,,AB,3081680.1980.4.27,52,38,,,COLD LAKE A,,,1.1,0,,,,1980-04-27 00:00:00,,27,15,,19.1,1980,0,,0,21,,11.9
-110.28333333333333,54.416666666666664,0,0,,3081680,4,28,,AB,3081680.1980.4.28,33,47,,,COLD LAKE A,,,1.9,0,,,,1980-04-28 00:00:00,,28,16,,19.9,1980,0,,0,17,,11.7
-110.28333333333333,54.416666666666664,0,0,,3081680,4,29.4,,AB,3081680.1980.4.29,59,62,,,COLD LAKE A,,T,2.9,0,T,,,1980-04-29 00:00:00,,29,16,,20.9,1980,0,,0,28,,12.4
-110.28333333333333,54.416666666666664,0,0,,3081680,4,19.5,,AB,3081680.1980.4.30,33,81,,,COLD LAKE A,,T,0,0,T,,,1980-04-30 00:00:00,,30,22,,14.4,1980,3.6,,0,30,,9.2
-110.28333333333333,54.416666666666664,0,0,,3081680,5,24.6,,AB,3081680.1980.5.1,0,75,,,COLD LAKE A,,,0,0,,,,1980-05-01 00:00:00,,1,17,,13.6,1980,4.4,,0,0,,2.5
-110.28333333333333,54.416666666666664,0,0,,3081680,5,29.2,,AB,3081680.1980.5.2,59,38,,,COLD LAKE A,,,3.2,0,,,,1980-05-02 00:00:00,,2,11,,21.2,1980,0,,0,17,,13.1
