x,y,TOTAL_SNOW_FLAG,LOCAL_YEAR,MEAN_TEMPERATURE,DIRECTION_MAX_GUST_FLAG,LOCAL_MONTH,MIN_REL_HUMIDITY,TOTAL_PRECIPITATION,MIN_TEMPERATURE,MAX_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,TOTAL_RAIN_FLAG,COOLING_DEGREE_DAYS,MAX_REL_HUMIDITY,LOCAL_DAY,MAX_REL_HUMIDITY_FLAG,LOCAL_DATE,MEAN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,TOTAL_PRECIPITATION_FLAG,SNOW_ON_GROUND,MAX_TEMPERATURE,MIN_TEMPERATURE_FLAG,PROVINCE_CODE,SPEED_MAX_GUST,HEATING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,STATION_NAME,HEATING_DEGREE_DAYS_FLAG,CLIMATE_IDENTIFIER,TOTAL_RAIN,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,ID,SNOW_ON_GROUND_FLAG
-110.28333333333333,54.416666666666664,,2007,-20,,11,59,0,-23.3,,,,0,74,29,,2007-11-29 00:00:00,,0,,20,-16.6,,AB,0,38,,COLD LAKE A,,3081680,0,,0,3081680.2007.11.29,
-110.28333333333333,54.416666666666664,,2007,-16.1,,11,61,0.6,-19.4,,,,0,75,30,,2007-11-30 00:00:00,,27,,20,-12.7,,AB,32,34.1,,COLD LAKE A,,3081680,0,,0.6,3081680.2007.11.30,
-110.28333333333333,54.416666666666664,,2007,-18.6,,12,66,0.7,-22.3,,,,0,88,1,,2007-12-01 00:00:00,,0,,21,-14.9,,AB,0,36.6,,COLD LAKE A,,3081680,0,,1.2,3081680.2007.12.1,
-110.28333333333333,54.416666666666664,T,2007,-25.3,,12,69,0,-30.8,,,,0,77,2,,2007-12-02 00:00:00,,0,T,19,-19.8,,AB,0,43.3,,COLD LAKE A,,3081680,0,,0,3081680.2007.12.2,
-110.28333333333333,54.416666666666664,,2007,-19,,12,66,3.6,-20,,,,0,73,3,,2007-12-03 00:00:00,,19,,20,-18,,AB,37,37,,COLD LAKE A,,3081680,0,,6.4,3081680.2007.12.3,
-110.28333333333333,54.416666666666664,,2007,-18.9,,12,62,0.8,-20.3,,,,0,73,4,,2007-12-04 00:00:00,,0,,24,-17.5,,AB,0,36.9,,COLD LAKE A,,3081680,0,,1.6,3081680.2007.12.4,
-110.28333333333333,54.416666666666664,,2007,-19.2,,12,64,0.4,-23.3,,,,0,73,5,,2007-12-05 00:00:00,,29,,24,-15,,AB,33,37.2,,COLD LAKE A,,3081680,0,,0.8,3081680.2007.12.5,
-110.28333333333333,54.416666666666664,T,2007,-20.6,,12,58,0,-23.8,,,,0,75,6,,2007-12-06 00:00:00,,0,T,23,-17.4,,AB,0,38.6,,COLD LAKE A,,3081680,0,,0,3081680.2007.12.6,
-110.28333333333333,54.416666666666664,,2007,-21.3,,12,67,0,-25.6,,,,0,78,7,,2007-12-07 00:00:00,,0,,23,-17,,AB,0,39.3,,COLD LAKE A,,3081680,0,,0,3081680.2007.12.7,
-110.28333333333333,54.416666666666664,,2007,-22.1,,12,61,0,-30,,,,0,74,8,,2007-12-08 00:00:00,,0,,23,-14.2,,AB,0,40.1,,COLD LAKE A,,3081680,0,,0,3081680.2007.12.8,
