x,y,SNOW_ON_GROUND,LOCAL_DAY,MEAN_TEMPERATURE,COOLING_DEGREE_DAYS,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,ID,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS,TOTAL_PRECIPITATION,STATION_NAME,PROVINCE_CODE,LOCAL_YEAR,MAX_REL_HUMIDITY,DIRECTION_MAX_GUST,LOCAL_DATE,SPEED_MAX_GUST,TOTAL_SNOW_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_SNOW,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,CLIMATE_IDENTIFIER,LOCAL_MONTH,MAX_TEMPERATURE,MIN_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN
-113.60583583333333,53.306667222222224,29,1,-23.9,0,E,,3012206.1999.1.1,E,41.9,1.1,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-01-01 00:00:00,,E,E,1.1,,-33,E,,E,,E,3012206,1,-14.7,,E,,0
-113.60583583333333,53.306667222222224,27,2,-21.9,0,E,,3012206.1999.1.2,E,39.9,4.7,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-01-02 00:00:00,,E,E,4.7,,-33.2,E,,E,,E,3012206,1,-10.6,,E,,0
-113.60583583333333,53.306667222222224,32,3,-13.1,0,E,,3012206.1999.1.3,E,31.1,8.1,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-01-03 00:00:00,,E,E,8.1,,-20,E,,E,,E,3012206,1,-6.1,,E,,0
-113.60583583333333,53.306667222222224,41,4,-1.4,0,E,,3012206.1999.1.4,E,19.4,3.5,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-01-04 00:00:00,,E,E,3.5,,-6.1,E,,E,,E,3012206,1,3.4,,E,,0
-113.60583583333333,53.306667222222224,41,5,-7.5,0,E,,3012206.1999.1.5,E,25.5,1.8,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-01-05 00:00:00,,E,E,1.8,,-18.3,E,,E,,E,3012206,1,3.4,,E,,0
-113.60583583333333,53.306667222222224,34,6,-28.3,0,E,,3012206.1999.1.6,E,46.3,1.8,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-01-06 00:00:00,,E,E,1.8,,-38.8,E,,E,,E,3012206,1,-17.8,,E,,0
-113.60583583333333,53.306667222222224,35,7,-26.6,0,E,,3012206.1999.1.7,E,44.6,2.3,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-01-07 00:00:00,,E,E,2.3,,-36.2,E,,E,,E,3012206,1,-16.9,,E,,0
-113.60583583333333,53.306667222222224,33,8,-26.8,0,E,,3012206.1999.1.8,E,44.8,4.2,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-01-08 00:00:00,,E,E,4.2,,-40.6,E,,E,,E,3012206,1,-13,,E,,0
-113.60583583333333,53.306667222222224,,9,-17.1,0,E,,3012206.1999.1.9,E,35.1,0,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-01-09 00:00:00,,,M,0,,-24.3,E,,E,,,3012206,1,-9.9,,E,,0
-113.60583583333333,53.306667222222224,,10,-16.6,0,E,,3012206.1999.1.10,E,34.6,1.3,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-01-10 00:00:00,,E,M,1.3,,-22.6,E,,E,,E,3012206,1,-10.5,,E,,0
