x,y,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST,MAX_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,MAX_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,DIRECTION_MAX_GUST_FLAG,TOTAL_RAIN,PROVINCE_CODE,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,LOCAL_MONTH,LOCAL_DAY,MIN_REL_HUMIDITY,TOTAL_RAIN_FLAG,SNOW_ON_GROUND,MAX_TEMPERATURE,LOCAL_YEAR,SNOW_ON_GROUND_FLAG,ID,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW,MIN_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS,MIN_TEMPERATURE_FLAG,STATION_NAME,MIN_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW_FLAG,LOCAL_DATE
-116.465,53.57888888888889,,6.6,,41,,,,,3062239,M,,AB,,,11.4,9,23,,M,,17.2,2010,,3062239.2010.9.23,,,,0,,EDSON,-4.1,0,M,2010-09-23 00:00:00
-116.465,53.57888888888889,,9.1,,0,,0,,,3062239,,,AB,,,8.9,9,24,,M,,17.3,2010,,3062239.2010.9.24,,,,0,,EDSON,0.8,0,M,2010-09-24 00:00:00
-116.465,53.57888888888889,,14.5,,48,,,,,3062239,M,,AB,,,3.5,9,25,,M,,25,2010,,3062239.2010.9.25,,,,0,,EDSON,3.9,0,M,2010-09-25 00:00:00
-116.465,53.57888888888889,,11.7,,0,,0,,,3062239,,,AB,,,6.3,9,26,,M,,18.1,2010,,3062239.2010.9.26,,,,0,,EDSON,5.3,0,M,2010-09-26 00:00:00
-116.465,53.57888888888889,,14.7,,50,,,,,3062239,M,,AB,,,3.3,9,27,,M,,24.9,2010,,3062239.2010.9.27,,,,0,,EDSON,4.5,0,M,2010-09-27 00:00:00
-116.465,53.57888888888889,,11.4,,72,,,,,3062239,M,,AB,,,6.6,9,28,,M,,17.7,2010,,3062239.2010.9.28,,,,0,,EDSON,5,7.6,M,2010-09-28 00:00:00
-116.465,53.57888888888889,,8.3,,0,,0,,,3062239,,,AB,,,9.7,9,29,,M,,18.9,2010,,3062239.2010.9.29,,,,0,,EDSON,-2.3,0,M,2010-09-29 00:00:00
-116.465,53.57888888888889,,7.4,,0,,0,,,3062239,,,AB,,,10.6,9,30,,M,,16.4,2010,,3062239.2010.9.30,,,,0,,EDSON,-1.6,0,M,2010-09-30 00:00:00
-116.465,53.57888888888889,,10.1,,0,,0,,,3062239,,,AB,,,7.9,10,1,,M,,18.5,2010,,3062239.2010.10.1,,,,0,,EDSON,1.7,0,M,2010-10-01 00:00:00
-116.465,53.57888888888889,,12.1,,0,,0,,,3062239,,,AB,,,5.9,10,2,,M,,24.9,2010,,3062239.2010.10.2,,,,0,,EDSON,-0.8,0,M,2010-10-02 00:00:00
