x,y,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST,MAX_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,MAX_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,DIRECTION_MAX_GUST_FLAG,TOTAL_RAIN,PROVINCE_CODE,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,LOCAL_MONTH,LOCAL_DAY,MIN_REL_HUMIDITY,TOTAL_RAIN_FLAG,SNOW_ON_GROUND,MAX_TEMPERATURE,LOCAL_YEAR,SNOW_ON_GROUND_FLAG,ID,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW,MIN_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS,MIN_TEMPERATURE_FLAG,STATION_NAME,MIN_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW_FLAG,LOCAL_DATE
-111.22333333333333,56.653333333333336,,4.8,,0,,0,,,3062697,,,AB,,,13.2,10,20,,M,,10.2,2011,,3062697.2011.10.20,,,,0,,FORT MCMURRAY A,-0.7,2.5,M,2011-10-20 00:00:00
-111.22333333333333,56.653333333333336,,2.4,,0,,0,,,3062697,,,AB,,,15.6,10,21,,M,,6.8,2011,,3062697.2011.10.21,,,,0,,FORT MCMURRAY A,-2,0,M,2011-10-21 00:00:00
-111.22333333333333,56.653333333333336,,1.4,,0,,0,,,3062697,,,AB,,,16.6,10,22,,M,,2.6,2011,,3062697.2011.10.22,,,,0,,FORT MCMURRAY A,0.2,1.1,M,2011-10-22 00:00:00
-111.22333333333333,56.653333333333336,,1.3,,0,,0,,,3062697,,,AB,,,16.7,10,23,,M,,2.4,2011,,3062697.2011.10.23,,,,0,,FORT MCMURRAY A,0.1,0,M,2011-10-23 00:00:00
-111.22333333333333,56.653333333333336,,2.7,,0,,0,,,3062697,,,AB,,,15.3,10,24,,M,,8.1,2011,,3062697.2011.10.24,,,,0,,FORT MCMURRAY A,-2.8,0,M,2011-10-24 00:00:00
-111.22333333333333,56.653333333333336,,1.9,,0,,0,,,3062697,,,AB,,,16.1,10,25,,M,,7.2,2011,,3062697.2011.10.25,,,,0,,FORT MCMURRAY A,-3.4,0,M,2011-10-25 00:00:00
-111.22333333333333,56.653333333333336,,1.5,,0,,0,,,3062697,,,AB,,,16.5,10,26,,M,,9.2,2011,,3062697.2011.10.26,,,,0,,FORT MCMURRAY A,-6.2,0,M,2011-10-26 00:00:00
-111.22333333333333,56.653333333333336,,4,,0,,0,,,3062697,,,AB,,,14,10,27,,M,,8.2,2011,,3062697.2011.10.27,,,,0,,FORT MCMURRAY A,-0.2,0,M,2011-10-27 00:00:00
-111.22333333333333,56.653333333333336,,0,,0,,0,,,3062697,,,AB,,,18,10,28,,M,,6,2011,,3062697.2011.10.28,,,,0,,FORT MCMURRAY A,-6,0,M,2011-10-28 00:00:00
-111.22333333333333,56.653333333333336,,3.1,,0,,0,,,3062697,,,AB,,,14.9,10,29,,M,,8,2011,,3062697.2011.10.29,,,,0,,FORT MCMURRAY A,-1.9,0,M,2011-10-29 00:00:00
