x,y,DIRECTION_MAX_GUST_FLAG,MEAN_TEMPERATURE,TOTAL_RAIN_FLAG,DIRECTION_MAX_GUST,SNOW_ON_GROUND,CLIMATE_IDENTIFIER,TOTAL_PRECIPITATION_FLAG,COOLING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,STATION_NAME,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,ID,LOCAL_YEAR,SNOW_ON_GROUND_FLAG,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST,LOCAL_DAY,LOCAL_MONTH,SPEED_MAX_GUST_FLAG,PROVINCE_CODE,HEATING_DEGREE_DAYS,MAX_TEMPERATURE,TOTAL_PRECIPITATION,LOCAL_DATE,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS_FLAG,TOTAL_RAIN,COOLING_DEGREE_DAYS
-118.885,55.179722222222225,,9,,,0,3072920,,,,,GRANDE PRAIRIE A,,0,3072920.2001.5.20,2001,,,,,,20,5,,AB,9,16.5,0,2001-05-20 00:00:00,,1.5,,,0,0
-118.885,55.179722222222225,,11.7,,,0,3072920,,,,,GRANDE PRAIRIE A,,0,3072920.2001.5.21,2001,,,,,,21,5,,AB,6.3,18.4,0.4,2001-05-21 00:00:00,,5,,,0.4,0
-118.885,55.179722222222225,,13.1,T,,0,3072920,T,,,,GRANDE PRAIRIE A,,0,3072920.2001.5.22,2001,,,,,,22,5,,AB,4.9,22.9,0,2001-05-22 00:00:00,,3.3,,,0,0
-118.885,55.179722222222225,,15.9,,,0,3072920,,,,,GRANDE PRAIRIE A,,0,3072920.2001.5.23,2001,,,,,,23,5,,AB,2.1,23.8,0,2001-05-23 00:00:00,,8,,,0,0
-118.885,55.179722222222225,,16.9,T,,0,3072920,T,,,,GRANDE PRAIRIE A,,0,3072920.2001.5.24,2001,,,,,,24,5,,AB,1.1,23.6,0,2001-05-24 00:00:00,,10.2,,,0,0
-118.885,55.179722222222225,,13,,,0,3072920,,,,,GRANDE PRAIRIE A,,0,3072920.2001.5.25,2001,,,,,,25,5,,AB,5,20.7,0,2001-05-25 00:00:00,,5.3,,,0,0
-118.885,55.179722222222225,,15.3,,,0,3072920,,,,,GRANDE PRAIRIE A,,0,3072920.2001.5.26,2001,,,,,,26,5,,AB,2.7,22.3,2,2001-05-26 00:00:00,,8.3,,,2,0
-118.885,55.179722222222225,,18,,,0,3072920,,,,,GRANDE PRAIRIE A,,0,3072920.2001.5.27,2001,,,,,,27,5,,AB,0,23,0,2001-05-27 00:00:00,,12.9,,,0,0
-118.885,55.179722222222225,,14,,,0,3072920,,,,,GRANDE PRAIRIE A,,0,3072920.2001.5.28,2001,,,,,,28,5,,AB,4,19.6,9,2001-05-28 00:00:00,,8.3,,,9,0
-118.885,55.179722222222225,,7.6,,,0,3072920,,,,,GRANDE PRAIRIE A,,0,3072920.2001.5.29,2001,,,,,,29,5,,AB,10.4,9.4,16,2001-05-29 00:00:00,,5.7,,,16,0
-118.885,55.179722222222225,,11.8,,,0,3072920,,,,,GRANDE PRAIRIE A,,0,3072920.2001.5.30,2001,,,,,,30,5,,AB,6.2,18,6.2,2001-05-30 00:00:00,,5.5,,,6.2,0
-118.885,55.179722222222225,,12.7,,,0,3072920,,,,,GRANDE PRAIRIE A,,0,3072920.2001.5.31,2001,,,,,,31,5,,AB,5.3,20.6,0,2001-05-31 00:00:00,,4.7,,,0,0
-118.885,55.179722222222225,,18.7,T,,0,3072920,T,,,,GRANDE PRAIRIE A,,0,3072920.2001.6.1,2001,,,,,,1,6,,AB,0,27,0,2001-06-01 00:00:00,,10.3,,,0,0.7
-118.885,55.179722222222225,,12.4,,,0,3072920,,,,,GRANDE PRAIRIE A,,0,3072920.2001.6.2,2001,,,,,,2,6,,AB,5.6,17.7,2.8,2001-06-02 00:00:00,,7.1,,,2.8,0
-118.885,55.179722222222225,,13.5,,,0,3072920,,,,,GRANDE PRAIRIE A,,0,3072920.2001.6.3,2001,,,,,,3,6,,AB,4.5,19.2,0,2001-06-03 00:00:00,,7.7,,,0,0
