x,y,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST,MAX_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,MAX_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,DIRECTION_MAX_GUST_FLAG,TOTAL_RAIN,PROVINCE_CODE,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,LOCAL_MONTH,LOCAL_DAY,MIN_REL_HUMIDITY,TOTAL_RAIN_FLAG,SNOW_ON_GROUND,MAX_TEMPERATURE,LOCAL_YEAR,SNOW_ON_GROUND_FLAG,ID,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW,MIN_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS,MIN_TEMPERATURE_FLAG,STATION_NAME,MIN_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW_FLAG,LOCAL_DATE
-118.88472222222222,55.18,,18.9,,0,,0,,,3072921,,0,AB,,,0,9,12,,,,31.9,2013,,3072921.2013.9.12,,0,,0.9,,GRANDE PRAIRIE A,5.8,0,,2013-09-12 00:00:00
-118.88472222222222,55.18,,17.6,,0,,0,,,3072921,,0,AB,,,0.4,9,13,,,,26.5,2013,,3072921.2013.9.13,,0,,0,,GRANDE PRAIRIE A,8.7,0,,2013-09-13 00:00:00
-118.88472222222222,55.18,,15.8,,39,,7,,,3072921,,0,AB,,,2.2,9,14,,,,24.9,2013,,3072921.2013.9.14,,0,,0,,GRANDE PRAIRIE A,6.6,0,,2013-09-14 00:00:00
-118.88472222222222,55.18,,17.2,,0,,0,,,3072921,,0,AB,,,0.8,9,15,,,,27.1,2013,,3072921.2013.9.15,,0,,0,,GRANDE PRAIRIE A,7.3,0,,2013-09-15 00:00:00
-118.88472222222222,55.18,,15.8,,67,,26,,,3072921,,29.2,AB,,,2.2,9,16,,,,20.2,2013,,3072921.2013.9.16,,0,,0,,GRANDE PRAIRIE A,11.3,29.2,,2013-09-16 00:00:00
-118.88472222222222,55.18,,10.3,,48,,31,,,3072921,,1.2,AB,,,7.7,9,17,,,,14.7,2013,,3072921.2013.9.17,,0,,0,,GRANDE PRAIRIE A,5.8,1.2,,2013-09-17 00:00:00
-118.88472222222222,55.18,,7.2,,0,,0,,,3072921,,0.2,AB,,,10.8,9,18,,,,12.4,2013,,3072921.2013.9.18,,0,,0,,GRANDE PRAIRIE A,1.9,0.2,,2013-09-18 00:00:00
-118.88472222222222,55.18,,10.2,,0,,0,,,3072921,,0,AB,,,7.8,9,19,,,,20.6,2013,,3072921.2013.9.19,,0,,0,,GRANDE PRAIRIE A,-0.3,0,,2013-09-19 00:00:00
-118.88472222222222,55.18,,13.6,,0,,0,,,3072921,,0,AB,,,4.4,9,20,,,,23.9,2013,,3072921.2013.9.20,,0,,0,,GRANDE PRAIRIE A,3.3,0,,2013-09-20 00:00:00
-118.88472222222222,55.18,,11.2,,41,,30,,,3072921,,1.6,AB,,,6.8,9,21,,,,16.5,2013,,3072921.2013.9.21,,0,,0,,GRANDE PRAIRIE A,5.9,1.6,,2013-09-21 00:00:00
-118.88472222222222,55.18,,9.8,,33,,24,,,3072921,,0,AB,,,8.2,9,22,,,,17.6,2013,,3072921.2013.9.22,,0,,0,,GRANDE PRAIRIE A,2,0,,2013-09-22 00:00:00
-118.88472222222222,55.18,,9.8,,48,,27,,,3072921,,0.4,AB,,,8.2,9,23,,,,15.4,2013,,3072921.2013.9.23,,0,,0,,GRANDE PRAIRIE A,4.2,0.4,,2013-09-23 00:00:00
