x,y,MAX_TEMPERATURE,MIN_REL_HUMIDITY,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS,ID,TOTAL_PRECIPITATION_FLAG,MEAN_TEMPERATURE,LOCAL_MONTH,TOTAL_RAIN_FLAG,MAX_REL_HUMIDITY,LOCAL_DATE,MAX_TEMPERATURE_FLAG,PROVINCE_CODE,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST_FLAG,MAX_REL_HUMIDITY_FLAG,LOCAL_YEAR,HEATING_DEGREE_DAYS_FLAG,CLIMATE_IDENTIFIER,TOTAL_SNOW_FLAG,MIN_TEMPERATURE,HEATING_DEGREE_DAYS,MIN_REL_HUMIDITY_FLAG,SPEED_MAX_GUST,MEAN_TEMPERATURE_FLAG,STATION_NAME,COOLING_DEGREE_DAYS_FLAG,SNOW_ON_GROUND,TOTAL_SNOW,MIN_TEMPERATURE_FLAG,LOCAL_DAY,SNOW_ON_GROUND_FLAG,TOTAL_RAIN,DIRECTION_MAX_GUST
-112.02361111111111,54.76888888888889,1.1,,,0,3063686.2001.2.1,,-7,2,,,2001-02-01 00:00:00,,AB,,,,2001,,3063686,,-15.1,25,,,,LAC LA BICHE CLIMATE,,,,,1,,,
-112.02361111111111,54.76888888888889,2.4,,,0,3063686.2001.2.2,,-3.7,2,,,2001-02-02 00:00:00,,AB,,,,2001,,3063686,,-9.7,21.7,,,,LAC LA BICHE CLIMATE,,,,,2,,,
-112.02361111111111,54.76888888888889,4.8,,,0,3063686.2001.2.3,,0.9,2,,,2001-02-03 00:00:00,,AB,,,,2001,,3063686,,-3.1,17.1,,,,LAC LA BICHE CLIMATE,,,,,3,,,
-112.02361111111111,54.76888888888889,2.1,,,0,3063686.2001.2.4,,-1,2,,,2001-02-04 00:00:00,,AB,,,,2001,,3063686,,-4.1,19,,,,LAC LA BICHE CLIMATE,,,,,4,,,
-112.02361111111111,54.76888888888889,-3.4,,,0,3063686.2001.2.5,,-9.3,2,,,2001-02-05 00:00:00,,AB,,,,2001,,3063686,,-15.2,27.3,,,,LAC LA BICHE CLIMATE,,,,,5,,,
-112.02361111111111,54.76888888888889,-12.3,,,0,3063686.2001.2.6,,-17.4,2,,,2001-02-06 00:00:00,,AB,,,,2001,,3063686,,-22.4,35.4,,,,LAC LA BICHE CLIMATE,,,,,6,,,
-112.02361111111111,54.76888888888889,-15.1,,,0,3063686.2001.2.7,,-19.3,2,,,2001-02-07 00:00:00,,AB,,,,2001,,3063686,,-23.5,37.3,,,,LAC LA BICHE CLIMATE,,,,,7,,,
-112.02361111111111,54.76888888888889,-15.2,,,0,3063686.2001.2.8,,-19.3,2,,,2001-02-08 00:00:00,,AB,,,,2001,,3063686,,-23.4,37.3,,,,LAC LA BICHE CLIMATE,,,,,8,,,
-112.02361111111111,54.76888888888889,-16.7,,,0,3063686.2001.2.9,,-22.4,2,,,2001-02-09 00:00:00,,AB,,,,2001,,3063686,,-28.1,40.4,,,,LAC LA BICHE CLIMATE,,,,,9,,,
-112.02361111111111,54.76888888888889,-16.2,,,0,3063686.2001.2.10,,-19.7,2,,,2001-02-10 00:00:00,,AB,,,,2001,,3063686,,-23.2,37.7,,,,LAC LA BICHE CLIMATE,,,,,10,,,
