x,y,DIRECTION_MAX_GUST_FLAG,MEAN_TEMPERATURE,TOTAL_RAIN_FLAG,DIRECTION_MAX_GUST,SNOW_ON_GROUND,CLIMATE_IDENTIFIER,TOTAL_PRECIPITATION_FLAG,COOLING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,STATION_NAME,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,ID,LOCAL_YEAR,SNOW_ON_GROUND_FLAG,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST,LOCAL_DAY,LOCAL_MONTH,SPEED_MAX_GUST_FLAG,PROVINCE_CODE,HEATING_DEGREE_DAYS,MAX_TEMPERATURE,TOTAL_PRECIPITATION,LOCAL_DATE,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS_FLAG,TOTAL_RAIN,COOLING_DEGREE_DAYS
-112.79888888888888,49.63027777777778,,-18.8,M,0,,3033875,,,,,LETHBRIDGE,,,3033875.2011.1.13,2011,,,,,0,13,1,,AB,36.8,-16.2,0,2011-01-13 00:00:00,,-21.3,M,,,0
-112.79888888888888,49.63027777777778,,-19.4,M,31,,3033875,,,,,LETHBRIDGE,,,3033875.2011.1.14,2011,,,,,32,14,1,,AB,37.4,-18.5,0,2011-01-14 00:00:00,,-20.2,M,,,0
-112.79888888888888,49.63027777777778,,-20,M,0,,3033875,,,,,LETHBRIDGE,,,3033875.2011.1.15,2011,,,,,0,15,1,,AB,38,-19.4,0,2011-01-15 00:00:00,,-20.6,M,,,0
-112.79888888888888,49.63027777777778,,-12.4,M,2,,3033875,,,,,LETHBRIDGE,,,3033875.2011.1.16,2011,,,,,37,16,1,,AB,30.4,-5.2,0,2011-01-16 00:00:00,,-19.5,M,,,0
-112.79888888888888,49.63027777777778,,-17.3,M,0,,3033875,,,,,LETHBRIDGE,,,3033875.2011.1.17,2011,,,,,0,17,1,,AB,35.3,-15.8,0,2011-01-17 00:00:00,,-18.7,M,,,0
-112.79888888888888,49.63027777777778,,-13.4,M,26,,3033875,,,,,LETHBRIDGE,,,3033875.2011.1.19,2011,,,,,46,19,1,,AB,31.4,-6.2,0,2011-01-19 00:00:00,,-20.6,M,,,0
-112.79888888888888,49.63027777777778,,-0.6,M,25,,3033875,,,,,LETHBRIDGE,,,3033875.2011.1.22,2011,,,,,87,22,1,,AB,18.6,3.6,0,2011-01-22 00:00:00,,-4.7,M,,,0
-112.79888888888888,49.63027777777778,,2.7,M,26,,3033875,,,,,LETHBRIDGE,,,3033875.2011.1.25,2011,,,,,57,25,1,,AB,15.3,7.6,0,2011-01-25 00:00:00,,-2.3,M,,,0
-112.79888888888888,49.63027777777778,,5.7,M,26,,3033875,,,,,LETHBRIDGE,,,3033875.2011.1.26,2011,,,,,87,26,1,,AB,12.3,8.4,0,2011-01-26 00:00:00,,3,M,,,0
-112.79888888888888,49.63027777777778,,9.4,M,25,,3033875,,,,,LETHBRIDGE,,,3033875.2011.1.27,2011,,,,,82,27,1,,AB,8.6,12.7,0,2011-01-27 00:00:00,,6.1,M,,,0
-112.79888888888888,49.63027777777778,,2.4,M,4,,3033875,,,,,LETHBRIDGE,,,3033875.2011.1.28,2011,,,,,50,28,1,,AB,15.6,9,0,2011-01-28 00:00:00,,-4.2,M,,,0
-112.79888888888888,49.63027777777778,,-11.3,M,3,,3033875,,,,,LETHBRIDGE,,,3033875.2011.1.29,2011,,,,,35,29,1,,AB,29.3,-4.3,1.1,2011-01-29 00:00:00,,-18.2,M,,,0
-112.79888888888888,49.63027777777778,,-25.1,M,0,,3033875,,,,,LETHBRIDGE,,,3033875.2011.1.30,2011,,,,,0,30,1,,AB,43.1,-18.1,2.5,2011-01-30 00:00:00,,-32.1,M,,,0
