x,y,TOTAL_SNOW_FLAG,LOCAL_YEAR,MEAN_TEMPERATURE,DIRECTION_MAX_GUST_FLAG,LOCAL_MONTH,MIN_REL_HUMIDITY,TOTAL_PRECIPITATION,MIN_TEMPERATURE,MAX_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,TOTAL_RAIN_FLAG,COOLING_DEGREE_DAYS,MAX_REL_HUMIDITY,LOCAL_DAY,MAX_REL_HUMIDITY_FLAG,LOCAL_DATE,MEAN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,TOTAL_PRECIPITATION_FLAG,SNOW_ON_GROUND,MAX_TEMPERATURE,MIN_TEMPERATURE_FLAG,PROVINCE_CODE,SPEED_MAX_GUST,HEATING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,STATION_NAME,HEATING_DEGREE_DAYS_FLAG,CLIMATE_IDENTIFIER,TOTAL_RAIN,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,ID,SNOW_ON_GROUND_FLAG
-110.0725,53.30916666666667,M,2009,-13.9,,12,,0,-18.8,,,M,0,,17,,2009-12-17 00:00:00,,0,,6,-8.9,,AB,0,31.9,,LLOYDMINSTER,,3013959,,,,3013959.2009.12.17,
-110.0725,53.30916666666667,M,2009,-11.3,,12,,0,-15,,,M,0,,18,,2009-12-18 00:00:00,,0,,,-7.5,,AB,0,29.3,,LLOYDMINSTER,,3013959,,,,3013959.2009.12.18,
-110.0725,53.30916666666667,M,2009,-6.2,,12,,0,-10.9,,,M,0,,19,,2009-12-19 00:00:00,,0,,,-1.4,,AB,0,24.2,,LLOYDMINSTER,,3013959,,,,3013959.2009.12.19,
-110.0725,53.30916666666667,M,2009,-13.9,M,12,,0,-22.3,,,M,0,,20,,2009-12-20 00:00:00,,,,,-5.4,,AB,35,31.9,,LLOYDMINSTER,,3013959,,,,3013959.2009.12.20,
-110.0725,53.30916666666667,M,2009,-18.7,,12,,0,-22.2,,,M,0,,21,,2009-12-21 00:00:00,,0,,,-15.1,,AB,0,36.7,,LLOYDMINSTER,,3013959,,,,3013959.2009.12.21,
-110.0725,53.30916666666667,M,2009,-16.4,,12,,0,-18,,,M,0,,22,,2009-12-22 00:00:00,,0,,,-14.8,,AB,0,34.4,,LLOYDMINSTER,,3013959,,,,3013959.2009.12.22,
-110.0725,53.30916666666667,M,2009,-21.6,M,12,,0,-27.3,,,M,0,,23,,2009-12-23 00:00:00,,,,,-15.8,,AB,33,39.6,,LLOYDMINSTER,,3013959,,,,3013959.2009.12.23,
-110.0725,53.30916666666667,M,2009,-25,,12,,0,-28.7,,,M,0,,24,,2009-12-24 00:00:00,,0,,,-21.2,,AB,0,43,,LLOYDMINSTER,,3013959,,,,3013959.2009.12.24,
-110.0725,53.30916666666667,M,2009,-23.2,,12,,0,-27,,,M,0,,25,,2009-12-25 00:00:00,,0,,,-19.4,,AB,0,41.2,,LLOYDMINSTER,,3013959,,,,3013959.2009.12.25,
-110.0725,53.30916666666667,M,2009,-17.5,,12,,0,-23.7,,,M,0,,26,,2009-12-26 00:00:00,,0,,,-11.3,,AB,0,35.5,,LLOYDMINSTER,,3013959,,,,3013959.2009.12.26,
-110.0725,53.30916666666667,M,2009,-13.5,,12,,0,-17.9,,,M,0,,27,,2009-12-27 00:00:00,,0,,,-9,,AB,0,31.5,,LLOYDMINSTER,,3013959,,,,3013959.2009.12.27,
-110.0725,53.30916666666667,M,2009,-12.3,M,12,,0,-14.2,,,M,0,,28,,2009-12-28 00:00:00,,,,,-10.4,,AB,37,30.3,,LLOYDMINSTER,,3013959,,,,3013959.2009.12.28,
-110.0725,53.30916666666667,M,2009,-14,M,12,,0,-16,,,M,0,,29,,2009-12-29 00:00:00,,,,,-11.9,,AB,37,32,,LLOYDMINSTER,,3013959,,,,3013959.2009.12.29,
-110.0725,53.30916666666667,M,2009,-18.5,M,12,,0,-21.3,,,M,0,,30,,2009-12-30 00:00:00,,,T,,-15.7,,AB,32,36.5,,LLOYDMINSTER,,3013959,,,,3013959.2009.12.30,
-110.0725,53.30916666666667,M,2009,-26.7,,12,,0,-32.7,,,M,0,,31,,2009-12-31 00:00:00,,0,,,-20.7,,AB,0,44.7,,LLOYDMINSTER,,3013959,,,,3013959.2009.12.31,
-110.0725,53.30916666666667,M,2010,-25.9,M,1,,0,-33,,,M,0,,1,,2010-01-01 00:00:00,,,,,-18.8,,AB,50,43.9,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.1,
-110.0725,53.30916666666667,M,2010,-17.8,M,1,,0,-21,,,M,0,,2,,2010-01-02 00:00:00,,,,,-14.5,,AB,33,35.8,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.2,
-110.0725,53.30916666666667,M,2010,-14.6,,1,,0,-16.1,,,M,0,,3,,2010-01-03 00:00:00,,0,,,-13.1,,AB,0,32.6,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.3,
-110.0725,53.30916666666667,M,2010,-18.3,,1,,0,-22,,,M,0,,4,,2010-01-04 00:00:00,,0,,,-14.6,,AB,0,36.3,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.4,
-110.0725,53.30916666666667,M,2010,-20.6,,1,,0,-23.2,,,M,0,,5,,2010-01-05 00:00:00,,0,,,-18,,AB,0,38.6,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.5,
-110.0725,53.30916666666667,M,2010,-24.9,,1,,0,-29.2,,,M,0,,6,,2010-01-06 00:00:00,,0,,,-20.6,,AB,0,42.9,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.6,
-110.0725,53.30916666666667,M,2010,-23.4,M,1,,0,-28.4,,,M,0,,7,,2010-01-07 00:00:00,,,,,-18.3,,AB,43,41.4,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.7,
-110.0725,53.30916666666667,M,2010,-19.5,M,1,,0,-25,,,M,0,,8,,2010-01-08 00:00:00,,,,,-14,,AB,35,37.5,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.8,
-110.0725,53.30916666666667,M,2010,-9.7,,1,,0,-14.6,,,M,0,,9,,2010-01-09 00:00:00,,0,,,-4.7,,AB,0,27.7,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.9,
-110.0725,53.30916666666667,M,2010,-6.8,,1,,0,-13.1,,,M,0,,10,,2010-01-10 00:00:00,,0,,,-0.4,,AB,0,24.8,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.10,
-110.0725,53.30916666666667,M,2010,-1.9,M,1,,0,-6.5,,,M,0,,11,,2010-01-11 00:00:00,,,,,2.8,,AB,39,19.9,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.11,
-110.0725,53.30916666666667,M,2010,-2,,1,,0,-5.8,,,M,0,,12,,2010-01-12 00:00:00,,0,,,1.9,,AB,0,20,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.12,
-110.0725,53.30916666666667,M,2010,-5.6,M,1,,0,-11,,,M,0,,13,,2010-01-13 00:00:00,,,,,-0.2,,AB,32,23.6,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.13,
-110.0725,53.30916666666667,M,2010,-9.7,,1,,0,-13.2,,,M,0,,14,,2010-01-14 00:00:00,,0,,,-6.2,,AB,0,27.7,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.14,
-110.0725,53.30916666666667,M,2010,-4.1,,1,,0,-8.1,,,M,0,,15,,2010-01-15 00:00:00,,0,,,-0.1,,AB,0,22.1,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.15,
-110.0725,53.30916666666667,M,2010,-3.9,M,1,,0,-8.6,,,M,0,,16,,2010-01-16 00:00:00,,,,,0.9,,AB,52,21.9,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.16,
-110.0725,53.30916666666667,M,2010,-7,M,1,,0,-11.8,,,M,0,,17,,2010-01-17 00:00:00,,,,,-2.1,,AB,35,25,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.17,
-110.0725,53.30916666666667,M,2010,-5.4,,1,,0,-9.1,,,M,0,,18,,2010-01-18 00:00:00,,0,,,-1.6,,AB,0,23.4,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.18,
-110.0725,53.30916666666667,M,2010,-8.7,M,1,,0,-15,,,M,0,,19,,2010-01-19 00:00:00,,,,,-2.4,,AB,33,26.7,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.19,
-110.0725,53.30916666666667,M,2010,-11.8,M,1,,0,-14.9,,,M,0,,20,,2010-01-20 00:00:00,,,,,-8.7,,AB,32,29.8,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.20,
-110.0725,53.30916666666667,M,2010,-7.9,M,1,,0,-9.9,,,M,0,,21,,2010-01-21 00:00:00,,,,,-5.9,,AB,32,25.9,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.21,
-110.0725,53.30916666666667,M,2010,-5.5,M,1,,0.3,-6,,,M,0,,22,,2010-01-22 00:00:00,,,,,-5,,AB,33,23.5,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.22,
-110.0725,53.30916666666667,M,2010,-6.2,,1,,0,-6.8,,,M,0,,23,,2010-01-23 00:00:00,,0,,,-5.6,,AB,0,24.2,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.23,
-110.0725,53.30916666666667,M,2010,-11.8,M,1,,0,-17.5,,,M,0,,24,,2010-01-24 00:00:00,,,,,-6,,AB,52,29.8,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.24,
-110.0725,53.30916666666667,M,2010,-16.3,,1,,0,-18.5,,,M,0,,25,,2010-01-25 00:00:00,,0,,,-14,,AB,0,34.3,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.25,
-110.0725,53.30916666666667,M,2010,-18.5,M,1,,0,-21.5,,,M,0,,26,,2010-01-26 00:00:00,,,,,-15.4,,AB,44,36.5,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.26,
-110.0725,53.30916666666667,M,2010,-20.4,M,1,,0,-24.1,,,M,0,,27,,2010-01-27 00:00:00,,,,,-16.6,,AB,37,38.4,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.27,
-110.0725,53.30916666666667,M,2010,-20.5,,1,,0,-24.8,,,M,0,,28,,2010-01-28 00:00:00,,0,,,-16.1,,AB,0,38.5,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.28,
-110.0725,53.30916666666667,M,2010,-17.6,,1,,0,-23.9,,,M,0,,29,,2010-01-29 00:00:00,,0,,,-11.2,,AB,0,35.6,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.29,
-110.0725,53.30916666666667,M,2010,-13.8,M,1,,0,-16,,,M,0,,30,,2010-01-30 00:00:00,,,,,-11.6,,AB,32,31.8,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.30,
-110.0725,53.30916666666667,M,2010,-17.1,M,1,,0,-18.5,,,M,0,,31,,2010-01-31 00:00:00,,,,,-15.7,,AB,35,35.1,,LLOYDMINSTER,,3013959,,,,3013959.2010.1.31,
