x,y,SNOW_ON_GROUND,TOTAL_RAIN,HEATING_DEGREE_DAYS_FLAG,CLIMATE_IDENTIFIER,LOCAL_MONTH,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,PROVINCE_CODE,ID,SPEED_MAX_GUST,MAX_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY_FLAG,STATION_NAME,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,COOLING_DEGREE_DAYS,TOTAL_SNOW,TOTAL_RAIN_FLAG,TOTAL_SNOW_FLAG,MIN_REL_HUMIDITY_FLAG,LOCAL_DATE,MEAN_TEMPERATURE_FLAG,LOCAL_DAY,MIN_REL_HUMIDITY,SNOW_ON_GROUND_FLAG,MEAN_TEMPERATURE,LOCAL_YEAR,HEATING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,TOTAL_PRECIPITATION,DIRECTION_MAX_GUST,MIN_TEMPERATURE_FLAG,MIN_TEMPERATURE
-117.44722222222222,56.22694444444444,0,0,,3075040,7,22.5,,AB,3075040.2005.7.30,,,,,PEACE RIVER A,,,0,0,,,,2005-07-30 00:00:00,,30,,,15.7,2005,2.3,,0,,,8.9
-117.44722222222222,56.22694444444444,0,1.6,,3075040,7,23.1,,AB,3075040.2005.7.31,,,,,PEACE RIVER A,,,0,0,,,,2005-07-31 00:00:00,,31,,,17.9,2005,0.1,,1.6,,,12.7
-117.44722222222222,56.22694444444444,0,0,,3075040,8,20.9,,AB,3075040.2005.8.1,,,,,PEACE RIVER A,,T,0,0,T,,,2005-08-01 00:00:00,,1,,,15.5,2005,2.5,,0,,,10
-117.44722222222222,56.22694444444444,0,4.6,,3075040,8,16.6,,AB,3075040.2005.8.2,,,,,PEACE RIVER A,,,0,0,,,,2005-08-02 00:00:00,,2,,,12.1,2005,5.9,,4.6,,,7.5
-117.44722222222222,56.22694444444444,0,0,,3075040,8,22.8,,AB,3075040.2005.8.3,,,,,PEACE RIVER A,,,0,0,,,,2005-08-03 00:00:00,,3,,,16,2005,2,,0,,,9.1
-117.44722222222222,56.22694444444444,0,0,,3075040,8,24.5,,AB,3075040.2005.8.4,,,,,PEACE RIVER A,,,0,0,,,,2005-08-04 00:00:00,,4,,,15.7,2005,2.3,,0,,,6.8
-117.44722222222222,56.22694444444444,0,0,,3075040,8,23.2,,AB,3075040.2005.8.5,,,,,PEACE RIVER A,,,0,0,,,,2005-08-05 00:00:00,,5,,,17.4,2005,0.6,,0,,,11.6
-117.44722222222222,56.22694444444444,0,0,,3075040,8,22.4,,AB,3075040.2005.8.6,,,,,PEACE RIVER A,,,0,0,,,,2005-08-06 00:00:00,,6,,,16.4,2005,1.6,,0,,,10.3
-117.44722222222222,56.22694444444444,0,3,,3075040,8,19.3,,AB,3075040.2005.8.7,,,,,PEACE RIVER A,,,0,0,,,,2005-08-07 00:00:00,,7,,,13.4,2005,4.6,,3,,,7.5
-117.44722222222222,56.22694444444444,0,0,,3075040,8,19.2,,AB,3075040.2005.8.8,,,,,PEACE RIVER A,,,0,0,,,,2005-08-08 00:00:00,,8,,,15,2005,3,,0,,,10.7
-117.44722222222222,56.22694444444444,0,0,,3075040,8,17.3,,AB,3075040.2005.8.9,,,,,PEACE RIVER A,,,0,0,,,,2005-08-09 00:00:00,,9,,,13.2,2005,4.8,,0,,,9
-117.44722222222222,56.22694444444444,0,0,,3075040,8,20.2,,AB,3075040.2005.8.10,,,,,PEACE RIVER A,,T,0,0,T,,,2005-08-10 00:00:00,,10,,,13.1,2005,4.9,,0,,,6
