x,y,ID,DIRECTION_MAX_GUST,MIN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS_FLAG,TOTAL_RAIN_FLAG,MAX_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST_FLAG,MAX_TEMPERATURE,TOTAL_SNOW_FLAG,MIN_REL_HUMIDITY,MAX_TEMPERATURE_FLAG,MAX_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE_FLAG,STATION_NAME,LOCAL_YEAR,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,MIN_TEMPERATURE,SPEED_MAX_GUST,CLIMATE_IDENTIFIER,TOTAL_PRECIPITATION_FLAG,LOCAL_DAY,SNOW_ON_GROUND,COOLING_DEGREE_DAYS,TOTAL_RAIN,HEATING_DEGREE_DAYS,PROVINCE_CODE,LOCAL_DATE,LOCAL_MONTH
-113.89305555555555,52.17861111111111,3025480.1992.11.6,0,,-5.4,0,,,,,,-0.6,,,,,,,,RED DEER A,1992,,0,-10.1,0,3025480,,6,3,0,0,23.4,AB,1992-11-06 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.7,0,,0.2,1.6,,,,,,2.6,,,,,,,,RED DEER A,1992,,0,-2.2,0,3025480,,7,3,0,1.6,17.8,AB,1992-11-07 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.8,0,,0.9,0.6,,,,,,3.2,,,,,,,,RED DEER A,1992,,0.2,-1.4,0,3025480,,8,2,0,0.4,17.1,AB,1992-11-08 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.9,0,,-2.8,0,,,,,,0.9,,,,,T,,,RED DEER A,1992,,0,-6.5,0,3025480,,9,0,0,0,20.8,AB,1992-11-09 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.10,25,,-3,0,,,,,,3.2,,,,,T,E,,RED DEER A,1992,,0,-9.1,32,3025480,,10,0,0,0,21,AB,1992-11-10 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.11,0,,-0.7,0,,,,,,3.3,,,,,T,,,RED DEER A,1992,,0,-4.7,0,3025480,,11,0,0,0,18.7,AB,1992-11-11 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.12,0,,-4.7,0,,,,,,0.1,,,,,T,,,RED DEER A,1992,,0,-9.4,0,3025480,,12,0,0,0,22.7,AB,1992-11-12 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.13,31,,1.4,0,,T,,,,7.6,,,,,T,E,,RED DEER A,1992,,0,-4.9,46,3025480,T,13,0,0,0,16.6,AB,1992-11-13 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.14,0,,3.1,0,,,,,,7.3,,,,,,,,RED DEER A,1992,,0,-1.2,0,3025480,,14,0,0,0,14.9,AB,1992-11-14 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.15,0,,2.7,0,,,,,,8.3,,,,,,,,RED DEER A,1992,,0,-3,0,3025480,,15,0,0,0,15.3,AB,1992-11-15 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.16,0,,-1.6,0,,,,,,3.7,,,,,,,,RED DEER A,1992,,0,-6.8,0,3025480,,16,0,0,0,19.6,AB,1992-11-16 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.17,0,,-3.7,3,,,,,,-0.4,,,,,,,,RED DEER A,1992,,3,-6.9,0,3025480,,17,0,0,0,21.7,AB,1992-11-17 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.18,0,,-4.3,3.6,,,,,,-2.5,,,,,,,,RED DEER A,1992,,3.6,-6,0,3025480,,18,4,0,0,22.3,AB,1992-11-18 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.19,0,,-7.1,0,,,,,,-4.4,,,,,,,,RED DEER A,1992,,0,-9.7,0,3025480,,19,5,0,0,25.1,AB,1992-11-19 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.20,0,,-6,0,,,,,,-1.9,,,,,,,,RED DEER A,1992,,0,-10.1,0,3025480,,20,5,0,0,24,AB,1992-11-20 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.21,0,,-9.2,1,,,,,,-3.8,,,,,,,,RED DEER A,1992,,1,-14.5,0,3025480,,21,4,0,0,27.2,AB,1992-11-21 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.22,32,,-7.5,5.2,,,,,,-4.8,,,,,,E,,RED DEER A,1992,,6.2,-10.2,57,3025480,,22,7,0,0,25.5,AB,1992-11-22 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.23,0,,-13.9,0,,,,,,-6.8,,,,,,,,RED DEER A,1992,,0,-21,0,3025480,,23,9,0,0,31.9,AB,1992-11-23 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.24,0,,-8.3,0,,,,,,-0.7,,,,,,,,RED DEER A,1992,,0,-15.8,0,3025480,,24,9,0,0,26.3,AB,1992-11-24 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.25,0,,-8.4,0,,,,,,-2.3,,,,,,,,RED DEER A,1992,,0,-14.5,0,3025480,,25,9,0,0,26.4,AB,1992-11-25 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.26,0,,-6.4,0,,,,,,1.4,,,,,,,,RED DEER A,1992,,0,-14.2,0,3025480,,26,9,0,0,24.4,AB,1992-11-26 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.27,35,,-0.9,2,,,,,,8.2,,,,,,E,,RED DEER A,1992,,0.8,-9.9,39,3025480,,27,8,0,1.2,18.9,AB,1992-11-27 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.28,31,,-2.8,0,,,,,,2.2,,,,,,E,,RED DEER A,1992,,0,-7.7,56,3025480,,28,2,0,0,20.8,AB,1992-11-28 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.29,0,,-3.7,0,,,,,,3.1,,,,,,,,RED DEER A,1992,,0,-10.5,0,3025480,,29,0,0,0,21.7,AB,1992-11-29 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.11.30,33,,0.8,0,,,,,,5.1,,,,,T,E,,RED DEER A,1992,,0,-3.6,69,3025480,,30,0,0,0,17.2,AB,1992-11-30 00:00:00,11
-113.89305555555555,52.17861111111111,3025480.1992.12.1,32,,-4.6,0,,,,,,1.9,,,,,T,,,RED DEER A,1992,,0,-11.1,46,3025480,,1,0,0,0,22.6,AB,1992-12-01 00:00:00,12
-113.89305555555555,52.17861111111111,3025480.1992.12.2,,,-8,0,,,,,M,-3.2,,,,,T,,,RED DEER A,1992,,0,-12.7,0,3025480,,2,0,0,0,26,AB,1992-12-02 00:00:00,12
-113.89305555555555,52.17861111111111,3025480.1992.12.3,,,-9.4,0,,,,,M,-3.4,,,,,T,,,RED DEER A,1992,,0,-15.3,0,3025480,,3,0,0,0,27.4,AB,1992-12-03 00:00:00,12
-113.89305555555555,52.17861111111111,3025480.1992.12.4,,,-5.6,0,,,,,M,2.5,,,,,T,,,RED DEER A,1992,,0,-13.7,0,3025480,,4,0,0,0,23.6,AB,1992-12-04 00:00:00,12
