x,y,DIRECTION_MAX_GUST_FLAG,MEAN_TEMPERATURE,TOTAL_RAIN_FLAG,DIRECTION_MAX_GUST,SNOW_ON_GROUND,CLIMATE_IDENTIFIER,TOTAL_PRECIPITATION_FLAG,COOLING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,STATION_NAME,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,ID,LOCAL_YEAR,SNOW_ON_GROUND_FLAG,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST,LOCAL_DAY,LOCAL_MONTH,SPEED_MAX_GUST_FLAG,PROVINCE_CODE,HEATING_DEGREE_DAYS,MAX_TEMPERATURE,TOTAL_PRECIPITATION,LOCAL_DATE,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS_FLAG,TOTAL_RAIN,COOLING_DEGREE_DAYS
-113.89444444444445,52.18222222222222,,11.1,,33,,3025481,,,,,RED DEER REGIONAL A,,0,3025481.2014.5.1,2014,,,,,50,1,5,,AB,6.9,18.5,2.8,2014-05-01 00:00:00,,3.7,,,2.8,0
-113.89444444444445,52.18222222222222,,5.5,,1,,3025481,,,,,RED DEER REGIONAL A,,0,3025481.2014.5.2,2014,,,,,50,2,5,,AB,12.5,9,0.8,2014-05-02 00:00:00,,1.9,T,,0.8,0
-113.89444444444445,52.18222222222222,,0.1,,4,1,3025481,,,,,RED DEER REGIONAL A,,3.2,3025481.2014.5.3,2014,,,,,35,3,5,,AB,17.9,2.4,3.8,2014-05-03 00:00:00,,-2.2,,,1,0
-113.89444444444445,52.18222222222222,,3.3,,36,1,3025481,T,,,,RED DEER REGIONAL A,,0,3025481.2014.5.5,2014,,,,,39,5,5,,AB,14.7,8.6,0,2014-05-05 00:00:00,,-2,T,,0,0
-113.89444444444445,52.18222222222222,,1.1,,32,,3025481,T,,,,RED DEER REGIONAL A,,0,3025481.2014.5.6,2014,,,,,50,6,5,,AB,16.9,5,0,2014-05-06 00:00:00,,-2.8,T,,0,0
-113.89444444444445,52.18222222222222,,1.4,,0,,3025481,,,,,RED DEER REGIONAL A,,0,3025481.2014.5.7,2014,,,,,0,7,5,,AB,16.6,9.1,0,2014-05-07 00:00:00,,-6.3,,,0,0
-113.89444444444445,52.18222222222222,,6.2,,34,,3025481,,,,,RED DEER REGIONAL A,,0,3025481.2014.5.8,2014,,,,,43,8,5,,AB,11.8,15.1,0,2014-05-08 00:00:00,,-2.7,,,0,0
-113.89444444444445,52.18222222222222,M,6.2,M,,,3025481,T,E,,,RED DEER REGIONAL A,,,3025481.2014.5.9,2014,,E,,E,,9,5,M,AB,11.8,11.6,0,2014-05-09 00:00:00,E,0.8,M,E,,0
-113.89444444444445,52.18222222222222,M,4,M,,,3025481,M,E,,,RED DEER REGIONAL A,,,3025481.2014.5.10,2014,,E,,E,,10,5,M,AB,14,10.7,,2014-05-10 00:00:00,E,-2.7,M,E,,0
-113.89444444444445,52.18222222222222,,3.8,,33,,3025481,,,,,RED DEER REGIONAL A,,0,3025481.2014.5.11,2014,,,,,35,11,5,,AB,14.2,13.6,0,2014-05-11 00:00:00,,-6.1,,,0,0
-113.89444444444445,52.18222222222222,,6.9,,35,,3025481,,,,,RED DEER REGIONAL A,,0,3025481.2014.5.12,2014,,,,,35,12,5,,AB,11.1,17.6,0,2014-05-12 00:00:00,,-3.9,,,0,0
-113.89444444444445,52.18222222222222,,9.8,,3,,3025481,,,,,RED DEER REGIONAL A,,0,3025481.2014.5.13,2014,,,,,35,13,5,,AB,8.2,18.3,0,2014-05-13 00:00:00,,1.2,,,0,0
-113.89444444444445,52.18222222222222,,12.8,,32,,3025481,,,,,RED DEER REGIONAL A,,0,3025481.2014.5.14,2014,,,,,41,14,5,,AB,5.2,21.1,0,2014-05-14 00:00:00,,4.5,,,0,0
-113.89444444444445,52.18222222222222,,11.6,,31,,3025481,,,,,RED DEER REGIONAL A,,0,3025481.2014.5.15,2014,,,,,69,15,5,,AB,6.4,17.5,3.6,2014-05-15 00:00:00,,5.7,,,3.6,0
-113.89444444444445,52.18222222222222,,9.1,,34,,3025481,,,,,RED DEER REGIONAL A,,0,3025481.2014.5.16,2014,,,,,44,16,5,,AB,8.9,14.2,0,2014-05-16 00:00:00,,3.9,,,0,0
-113.89444444444445,52.18222222222222,,9.6,,15,,3025481,,,,,RED DEER REGIONAL A,,0,3025481.2014.5.17,2014,,,,,43,17,5,,AB,8.4,19.3,0,2014-05-17 00:00:00,,-0.1,,,0,0
-113.89444444444445,52.18222222222222,,8.2,,0,,3025481,,,,,RED DEER REGIONAL A,,0,3025481.2014.5.18,2014,,,,,0,18,5,,AB,9.8,10.5,14.4,2014-05-18 00:00:00,,5.9,,,14.4,0
-113.89444444444445,52.18222222222222,,11.8,T,31,,3025481,T,,,,RED DEER REGIONAL A,,0,3025481.2014.5.19,2014,,,,,50,19,5,,AB,6.2,17.6,0,2014-05-19 00:00:00,,5.9,,,0,0
-113.89444444444445,52.18222222222222,,11.4,,22,,3025481,,,,,RED DEER REGIONAL A,,0,3025481.2014.5.20,2014,,,,,35,20,5,,AB,6.6,20.3,0,2014-05-20 00:00:00,,2.4,,,0,0
-113.89444444444445,52.18222222222222,,14.2,,27,,3025481,,,,,RED DEER REGIONAL A,,0,3025481.2014.5.21,2014,,,,,33,21,5,,AB,3.8,23.6,0,2014-05-21 00:00:00,,4.7,,,0,0
-113.89444444444445,52.18222222222222,,15.6,,22,,3025481,,,,,RED DEER REGIONAL A,,0,3025481.2014.5.22,2014,,,,,33,22,5,,AB,2.4,24,0,2014-05-22 00:00:00,,7.1,,,0,0
-113.89444444444445,52.18222222222222,,18.2,,32,,3025481,,,,,RED DEER REGIONAL A,,0,3025481.2014.5.23,2014,,,,,48,23,5,,AB,0,26.1,0,2014-05-23 00:00:00,,10.3,,,0,0.2
-113.89444444444445,52.18222222222222,,13.4,,1,,3025481,,,,,RED DEER REGIONAL A,,0,3025481.2014.5.24,2014,,,,,46,24,5,,AB,4.6,19.4,5.2,2014-05-24 00:00:00,,7.3,,,5.2,0
-113.89444444444445,52.18222222222222,,13.9,T,17,,3025481,T,,,,RED DEER REGIONAL A,,0,3025481.2014.5.25,2014,,,,,57,25,5,,AB,4.1,19.6,0,2014-05-25 00:00:00,,8.2,,,0,0
