x,y,SNOW_ON_GROUND,TOTAL_RAIN,HEATING_DEGREE_DAYS_FLAG,CLIMATE_IDENTIFIER,LOCAL_MONTH,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,PROVINCE_CODE,ID,SPEED_MAX_GUST,MAX_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY_FLAG,STATION_NAME,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,COOLING_DEGREE_DAYS,TOTAL_SNOW,TOTAL_RAIN_FLAG,TOTAL_SNOW_FLAG,MIN_REL_HUMIDITY_FLAG,LOCAL_DATE,MEAN_TEMPERATURE_FLAG,LOCAL_DAY,MIN_REL_HUMIDITY,SNOW_ON_GROUND_FLAG,MEAN_TEMPERATURE,LOCAL_YEAR,HEATING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,TOTAL_PRECIPITATION,DIRECTION_MAX_GUST,MIN_TEMPERATURE_FLAG,MIN_TEMPERATURE
-113.89444444444445,52.18222222222222,,,M,3025484,6,,M,AB,3025484.2020.6.3,,,M,M,RED DEER REGIONAL A,M,M,,,,,M,2020-06-03 00:00:00,M,3,,,,2020,,M,,,M,
-113.89444444444445,52.18222222222222,,,,3025484,6,17.1,,AB,3025484.2020.6.4,,83,,,RED DEER REGIONAL A,M,,0,,,,,2020-06-04 00:00:00,,4,28,,10.2,2020,7.8,M,0,,,3.2
-113.89444444444445,52.18222222222222,,,,3025484,6,20.2,,AB,3025484.2020.6.5,65,98,,,RED DEER REGIONAL A,,,0,,,,,2020-06-05 00:00:00,,5,28,,11.4,2020,6.6,,0,14,,2.6
-113.89444444444445,52.18222222222222,,,,3025484,6,18.8,,AB,3025484.2020.6.6,59,93,,,RED DEER REGIONAL A,,,0,,,,,2020-06-06 00:00:00,,6,60,,14.2,2020,3.8,,1.2,10,,9.6
-113.89444444444445,52.18222222222222,,,,3025484,6,12.3,,AB,3025484.2020.6.7,63,98,,,RED DEER REGIONAL A,,,0,,,,,2020-06-07 00:00:00,,7,72,,9.8,2020,8.2,,20.1,32,,7.3
-113.89444444444445,52.18222222222222,,,,3025484,6,19.1,,AB,3025484.2020.6.8,48,96,,,RED DEER REGIONAL A,,,0,,,,,2020-06-08 00:00:00,,8,30,,11.1,2020,6.9,,0,17,,3
-113.89444444444445,52.18222222222222,,,,3025484,6,19.1,,AB,3025484.2020.6.9,33,92,,,RED DEER REGIONAL A,,,0,,,,,2020-06-09 00:00:00,,9,30,,13.2,2020,4.8,,0,17,,7.2
-113.89444444444445,52.18222222222222,,,,3025484,6,22,,AB,3025484.2020.6.10,33,83,,,RED DEER REGIONAL A,,,0,,,,,2020-06-10 00:00:00,,10,32,,13,2020,5,,0,32,,4
-113.89444444444445,52.18222222222222,,,,3025484,6,23.3,,AB,3025484.2020.6.11,33,80,,,RED DEER REGIONAL A,,,0,,,,,2020-06-11 00:00:00,,11,29,,16.3,2020,1.7,,0,17,,9.2
-113.89444444444445,52.18222222222222,,,,3025484,6,26.5,,AB,3025484.2020.6.12,42,93,,,RED DEER REGIONAL A,,,0.7,,,,,2020-06-12 00:00:00,,12,28,,18.7,2020,0,,0.2,19,,10.8
-113.89444444444445,52.18222222222222,,,,3025484,6,21.3,,AB,3025484.2020.6.13,63,96,,,RED DEER REGIONAL A,,,0,,,,,2020-06-13 00:00:00,,13,66,,14.5,2020,3.5,,7.7,30,,7.6
-113.89444444444445,52.18222222222222,,,,3025484,6,20.2,,AB,3025484.2020.6.14,55,99,,,RED DEER REGIONAL A,,,0,,,,,2020-06-14 00:00:00,,14,54,,14.3,2020,3.7,,4,21,,8.4
-113.89444444444445,52.18222222222222,,,,3025484,6,21.1,,AB,3025484.2020.6.15,52,93,,,RED DEER REGIONAL A,,,0,,,,,2020-06-15 00:00:00,,15,29,,15.5,2020,2.5,,1.4,34,,9.8
-113.89444444444445,52.18222222222222,,,,3025484,6,19.7,,AB,3025484.2020.6.16,42,90,,,RED DEER REGIONAL A,,,0,,,,,2020-06-16 00:00:00,,16,35,,14.5,2020,3.5,,0,31,,9.2
-113.89444444444445,52.18222222222222,,,,3025484,6,15.3,,AB,3025484.2020.6.17,52,95,,,RED DEER REGIONAL A,,,0,,,,,2020-06-17 00:00:00,,17,63,,12.4,2020,5.6,,2.7,35,,9.5
-113.89444444444445,52.18222222222222,,,,3025484,6,15.7,,AB,3025484.2020.6.18,,96,,,RED DEER REGIONAL A,M,,0,,,,,2020-06-18 00:00:00,,18,48,,11.4,2020,6.6,M,0,,,7
-113.89444444444445,52.18222222222222,,,,3025484,6,21.1,,AB,3025484.2020.6.19,,98,,,RED DEER REGIONAL A,M,,0,,,,,2020-06-19 00:00:00,,19,42,,11.8,2020,6.2,M,0,,,2.4
-113.89444444444445,52.18222222222222,,,,3025484,6,24.1,,AB,3025484.2020.6.20,41,94,,,RED DEER REGIONAL A,,,0,,,,,2020-06-20 00:00:00,,20,40,,15,2020,3,,3.8,29,,5.9
-113.89444444444445,52.18222222222222,,,,3025484,6,20.3,,AB,3025484.2020.6.21,48,99,,,RED DEER REGIONAL A,,,0,,,,,2020-06-21 00:00:00,,21,62,,16.5,2020,1.5,,6.2,1,,12.6
-113.89444444444445,52.18222222222222,,,,3025484,6,24.4,,AB,3025484.2020.6.22,,98,,,RED DEER REGIONAL A,M,,0,,,,,2020-06-22 00:00:00,,22,38,,17.4,2020,0.6,M,0,,,10.4
-113.89444444444445,52.18222222222222,,,,3025484,6,27.6,,AB,3025484.2020.6.23,55,94,,,RED DEER REGIONAL A,,,1.5,,,,,2020-06-23 00:00:00,,23,35,,19.5,2020,0,,0,1,,11.4
-113.89444444444445,52.18222222222222,,,,3025484,6,20.6,,AB,3025484.2020.6.24,48,96,,,RED DEER REGIONAL A,,,0,,,,,2020-06-24 00:00:00,,24,58,,15.4,2020,2.6,,25.7,31,,10.1
-113.89444444444445,52.18222222222222,,,,3025484,6,23.2,,AB,3025484.2020.6.25,,98,,,RED DEER REGIONAL A,M,,0,,,,,2020-06-25 00:00:00,,25,43,,15.4,2020,2.6,M,0,,,7.6
-113.89444444444445,52.18222222222222,,,,3025484,6,19.1,,AB,3025484.2020.6.26,35,95,,,RED DEER REGIONAL A,,,0,,,,,2020-06-26 00:00:00,,26,69,,14.7,2020,3.3,,0.4,36,,10.2
-113.89444444444445,52.18222222222222,,,,3025484,6,18.8,,AB,3025484.2020.6.27,46,99,,,RED DEER REGIONAL A,,,0,,,,,2020-06-27 00:00:00,,27,47,,14.3,2020,3.7,,9.8,31,,9.8
-113.89444444444445,52.18222222222222,,,,3025484,6,14.4,,AB,3025484.2020.6.28,41,92,,,RED DEER REGIONAL A,,,0,,,,,2020-06-28 00:00:00,,28,73,,11.6,2020,6.4,,0.5,32,,8.7
-113.89444444444445,52.18222222222222,,,,3025484,6,17.8,,AB,3025484.2020.6.29,41,93,,,RED DEER REGIONAL A,,,0,,,,,2020-06-29 00:00:00,,29,66,,14,2020,4,,1.7,32,,10.2
-113.89444444444445,52.18222222222222,,,,3025484,6,14.5,,AB,3025484.2020.6.30,35,99,,,RED DEER REGIONAL A,,,0,,,,,2020-06-30 00:00:00,,30,85,,11.8,2020,6.2,,29,4,,9
-113.89444444444445,52.18222222222222,,,,3025484,7,17.4,,AB,3025484.2020.7.1,32,100,,,RED DEER REGIONAL A,,,0,,,,,2020-07-01 00:00:00,,1,62,,13.7,2020,4.3,,7.1,28,,10
-113.89444444444445,52.18222222222222,,,,3025484,7,21.7,,AB,3025484.2020.7.2,32,95,,,RED DEER REGIONAL A,,,0,,,,,2020-07-02 00:00:00,,2,38,,15.5,2020,2.5,,0.4,21,,9.3
-113.89444444444445,52.18222222222222,,,,3025484,7,23.7,,AB,3025484.2020.7.3,37,92,,,RED DEER REGIONAL A,,,0,,,,,2020-07-03 00:00:00,,3,37,,14.6,2020,3.4,,0,17,,5.4
-113.89444444444445,52.18222222222222,,,,3025484,7,19.5,,AB,3025484.2020.7.4,48,91,,,RED DEER REGIONAL A,,,0,,,,,2020-07-04 00:00:00,,4,48,,13.8,2020,4.2,,4,29,,8.1
-113.89444444444445,52.18222222222222,,,,3025484,7,20.4,,AB,3025484.2020.7.5,46,96,,,RED DEER REGIONAL A,,,0,,,,,2020-07-05 00:00:00,,5,48,,14.4,2020,3.6,,0.2,34,,8.3
-113.89444444444445,52.18222222222222,,,,3025484,7,22.5,,AB,3025484.2020.7.6,32,99,,,RED DEER REGIONAL A,,,0,,,,,2020-07-06 00:00:00,,6,48,,14.4,2020,3.6,,0,17,,6.3
-113.89444444444445,52.18222222222222,,,,3025484,7,18,,AB,3025484.2020.7.7,41,96,,,RED DEER REGIONAL A,,,0,,,,,2020-07-07 00:00:00,,7,67,,14.3,2020,3.7,,29.5,30,,10.6
-113.89444444444445,52.18222222222222,,,,3025484,7,15.7,,AB,3025484.2020.7.8,59,96,,,RED DEER REGIONAL A,,,0,,,,,2020-07-08 00:00:00,,8,83,,13.7,2020,4.3,,13.1,31,,11.6
