x,y,DIRECTION_MAX_GUST_FLAG,MEAN_TEMPERATURE,TOTAL_RAIN_FLAG,DIRECTION_MAX_GUST,SNOW_ON_GROUND,CLIMATE_IDENTIFIER,TOTAL_PRECIPITATION_FLAG,COOLING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,STATION_NAME,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,ID,LOCAL_YEAR,SNOW_ON_GROUND_FLAG,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST,LOCAL_DAY,LOCAL_MONTH,SPEED_MAX_GUST_FLAG,PROVINCE_CODE,HEATING_DEGREE_DAYS,MAX_TEMPERATURE,TOTAL_PRECIPITATION,LOCAL_DATE,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS_FLAG,TOTAL_RAIN,COOLING_DEGREE_DAYS
-114.77722222222222,55.293055555555554,,15.9,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.6.30,2011,,,,,0,30,6,,AB,2.1,19.3,0,2011-06-30 00:00:00,,12.4,M,,,0
-114.77722222222222,55.293055555555554,,14.1,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.1,2011,,,,,0,1,7,,AB,3.9,18.5,0,2011-07-01 00:00:00,,9.7,M,,,0
-114.77722222222222,55.293055555555554,,13.9,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.2,2011,,,,,0,2,7,,AB,4.1,20.9,0,2011-07-02 00:00:00,,6.8,M,,,0
-114.77722222222222,55.293055555555554,,14.3,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.3,2011,,,,,0,3,7,,AB,3.7,18.3,1.5,2011-07-03 00:00:00,,10.2,M,,,0
-114.77722222222222,55.293055555555554,,15.1,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.4,2011,,,,,0,4,7,,AB,2.9,19.8,0,2011-07-04 00:00:00,,10.3,M,,,0
-114.77722222222222,55.293055555555554,,15.3,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.5,2011,,,,,0,5,7,,AB,2.7,21.3,0,2011-07-05 00:00:00,,9.3,M,,,0
-114.77722222222222,55.293055555555554,,16.1,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.6,2011,,,,,0,6,7,,AB,1.9,22.8,0,2011-07-06 00:00:00,,9.4,M,,,0
-114.77722222222222,55.293055555555554,M,17,M,,,3065995,E,E,,,SLAVE LAKE,,,3065995.2011.7.7,2011,,E,,E,,7,7,M,AB,1,20.6,8.6,2011-07-07 00:00:00,E,13.4,M,E,,0
-114.77722222222222,55.293055555555554,,14.3,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.9,2011,,,,,0,9,7,,AB,3.7,17.7,0.8,2011-07-09 00:00:00,,10.8,M,,,0
-114.77722222222222,55.293055555555554,,16.4,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.10,2011,,,,,0,10,7,,AB,1.6,19.6,14.8,2011-07-10 00:00:00,,13.2,M,,,0
-114.77722222222222,55.293055555555554,,16,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.11,2011,,,,,0,11,7,,AB,2,21.2,0,2011-07-11 00:00:00,,10.8,M,,,0
-114.77722222222222,55.293055555555554,,13,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.12,2011,,,,,0,12,7,,AB,5,15.1,15.3,2011-07-12 00:00:00,,10.9,M,,,0
-114.77722222222222,55.293055555555554,,16.7,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.13,2011,,,,,0,13,7,,AB,1.3,19.5,0,2011-07-13 00:00:00,,13.8,M,,,0
-114.77722222222222,55.293055555555554,,16.3,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.14,2011,,,,,0,14,7,,AB,1.7,19.5,0.3,2011-07-14 00:00:00,,13,M,,,0
-114.77722222222222,55.293055555555554,,14.6,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.15,2011,,,,,0,15,7,,AB,3.4,19.1,4.3,2011-07-15 00:00:00,,10,M,,,0
-114.77722222222222,55.293055555555554,,16.5,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.16,2011,,,,,0,16,7,,AB,1.5,20.2,3.3,2011-07-16 00:00:00,,12.7,M,,,0
-114.77722222222222,55.293055555555554,,18.4,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.17,2011,,,,,0,17,7,,AB,0,26,0,2011-07-17 00:00:00,,10.7,M,,,0.4
-114.77722222222222,55.293055555555554,,19,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.18,2011,,,,,0,18,7,,AB,0,24.1,1.3,2011-07-18 00:00:00,,13.9,M,,,1
-114.77722222222222,55.293055555555554,,17.7,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.19,2011,,,,,0,19,7,,AB,0.3,20.9,0,2011-07-19 00:00:00,,14.4,M,,,0
-114.77722222222222,55.293055555555554,,16.5,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.20,2011,,,,,0,20,7,,AB,1.5,20.2,0,2011-07-20 00:00:00,,12.7,M,,,0
-114.77722222222222,55.293055555555554,,13.7,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.21,2011,,,,,0,21,7,,AB,4.3,19.9,3.3,2011-07-21 00:00:00,,7.5,M,,,0
-114.77722222222222,55.293055555555554,,12,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.22,2011,,,,,0,22,7,,AB,6,13,46.3,2011-07-22 00:00:00,,11,M,,,0
-114.77722222222222,55.293055555555554,,14,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.23,2011,,,,,0,23,7,,AB,4,17.7,1,2011-07-23 00:00:00,,10.3,M,,,0
-114.77722222222222,55.293055555555554,,18,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.24,2011,,,,,0,24,7,,AB,0,23.4,0.3,2011-07-24 00:00:00,,12.5,M,,,0
-114.77722222222222,55.293055555555554,,17,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.25,2011,,,,,0,25,7,,AB,1,22.8,0,2011-07-25 00:00:00,,11.2,M,,,0
-114.77722222222222,55.293055555555554,,16.3,M,0,,3065995,,,,,SLAVE LAKE,,,3065995.2011.7.26,2011,,,,,0,26,7,,AB,1.7,22.1,0,2011-07-26 00:00:00,,10.5,M,,,0
