x,y,CLIMATE_IDENTIFIER,MIN_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_PRECIPITATION,DIRECTION_MAX_GUST,SNOW_ON_GROUND,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,PROVINCE_CODE,LOCAL_DAY,DIRECTION_MAX_GUST_FLAG,TOTAL_SNOW_FLAG,LOCAL_DATE,TOTAL_SNOW,HEATING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,MAX_REL_HUMIDITY,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS_FLAG,MEAN_TEMPERATURE,TOTAL_RAIN,COOLING_DEGREE_DAYS,MEAN_TEMPERATURE_FLAG,TOTAL_RAIN_FLAG,ID,LOCAL_YEAR,HEATING_DEGREE_DAYS,MIN_REL_HUMIDITY,STATION_NAME,LOCAL_MONTH,MAX_TEMPERATURE_FLAG
-79.39611111111111,43.6275,6158359,,,-6.7,0.8,0,,,,0,,ON,2,,M,2010-02-02 00:00:00,,,-1.4,,,,-4.1,,0,,M,6158359.2010.2.2,2010,22.1,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-4.7,0.3,,,,,44,,ON,3,M,M,2010-02-03 00:00:00,,,2,,,,-1.4,,0,,M,6158359.2010.2.3,2010,19.4,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-8.1,0,,,,,32,,ON,4,M,M,2010-02-04 00:00:00,,,1.6,,,,-3.3,,0,,M,6158359.2010.2.4,2010,21.3,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-5.8,0,,,,,52,,ON,5,M,M,2010-02-05 00:00:00,,,0.9,,,,-2.5,,0,,M,6158359.2010.2.5,2010,20.5,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-10.9,0,,,,,50,,ON,6,M,M,2010-02-06 00:00:00,,,-4.1,,,,-7.5,,0,,M,6158359.2010.2.6,2010,25.5,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-10.7,0,,,,,43,,ON,7,M,M,2010-02-07 00:00:00,,,-1.2,,,,-6,,0,,M,6158359.2010.2.7,2010,24,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-9,0,,,,,37,,ON,8,M,M,2010-02-08 00:00:00,,,1.6,,,,-3.7,,0,,M,6158359.2010.2.8,2010,21.7,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-6.4,0,,,,,56,,ON,9,M,M,2010-02-09 00:00:00,,,-2.8,,,,-4.6,,0,,M,6158359.2010.2.9,2010,22.6,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-6.7,0.5,,,,,54,,ON,10,M,M,2010-02-10 00:00:00,,,-1.4,,,,-4.1,,0,,M,6158359.2010.2.10,2010,22.1,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-8.3,0,,,,,39,,ON,11,M,M,2010-02-11 00:00:00,,,0.4,,,,-4,,0,,M,6158359.2010.2.11,2010,22,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-7.3,0,,,,,35,,ON,12,M,M,2010-02-12 00:00:00,,,0.8,,,,-3.3,,0,,M,6158359.2010.2.12,2010,21.3,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-7.7,0,,,,,43,,ON,13,M,M,2010-02-13 00:00:00,,,-0.4,,,,-4.1,,0,,M,6158359.2010.2.13,2010,22.1,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-3.2,0,,,,,48,,ON,14,M,M,2010-02-14 00:00:00,,,0,,,,-1.6,,0,,M,6158359.2010.2.14,2010,19.6,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-2.7,0,,,,,41,,ON,15,M,M,2010-02-15 00:00:00,,,-0.4,,,,-1.6,,0,,M,6158359.2010.2.15,2010,19.6,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-3.3,0,0,,,,0,,ON,16,,M,2010-02-16 00:00:00,,,1.2,,,,-1.1,,0,,M,6158359.2010.2.16,2010,19.1,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-2.6,0.8,,,,,46,,ON,17,M,M,2010-02-17 00:00:00,,,1.2,,,,-0.7,,0,,M,6158359.2010.2.17,2010,18.7,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-1.4,0,,,,,50,,ON,18,M,M,2010-02-18 00:00:00,,,2,,,,0.3,,0,,M,6158359.2010.2.18,2010,17.7,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-0.7,0,,,,,48,,ON,19,M,M,2010-02-19 00:00:00,,,4.8,,,,2.1,,0,,M,6158359.2010.2.19,2010,15.9,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-2.1,0,,,,,33,,ON,20,M,M,2010-02-20 00:00:00,,,5,,,,1.5,,0,,M,6158359.2010.2.20,2010,16.5,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-4.1,0,,,,,33,,ON,21,M,M,2010-02-21 00:00:00,,,4.6,,,,0.3,,0,,M,6158359.2010.2.21,2010,17.7,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-3.7,3.3,,,,,61,,ON,22,M,M,2010-02-22 00:00:00,,,1.3,,,,-1.2,,0,,M,6158359.2010.2.22,2010,19.2,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-0.7,0.5,0,,,,0,,ON,23,,M,2010-02-23 00:00:00,,,1.6,,,,0.5,,0,,M,6158359.2010.2.23,2010,17.5,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-2.4,0,0,,,,0,,ON,24,,M,2010-02-24 00:00:00,,,0.3,,,,-1.1,,0,,M,6158359.2010.2.24,2010,19.1,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-6.6,0,,,,,56,,ON,25,M,M,2010-02-25 00:00:00,,,-1.4,,,,-4,,0,,M,6158359.2010.2.25,2010,22,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-5.9,3.3,,,,,63,,ON,26,M,M,2010-02-26 00:00:00,,,3.1,,,,-1.4,,0,,M,6158359.2010.2.26,2010,19.4,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,0.8,3.6,,,,,35,,ON,27,M,M,2010-02-27 00:00:00,,,3.5,,,,2.2,,0,,M,6158359.2010.2.27,2010,15.8,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,1.4,0,,,,,35,,ON,28,M,M,2010-02-28 00:00:00,,,4.9,,,,3.2,,0,,M,6158359.2010.2.28,2010,14.8,,TORONTO CITY CENTRE,2,
-79.39611111111111,43.6275,6158359,,,-0.1,0,,,,,37,,ON,1,M,M,2010-03-01 00:00:00,,,4.3,,,,2.1,,0,,M,6158359.2010.3.1,2010,15.9,,TORONTO CITY CENTRE,3,
-79.39611111111111,43.6275,6158359,,,-1.4,0,0,,,,0,,ON,2,,M,2010-03-02 00:00:00,,,2.4,,,,0.5,,0,,M,6158359.2010.3.2,2010,17.5,,TORONTO CITY CENTRE,3,
-79.39611111111111,43.6275,6158359,,,-0.8,0,,,,,37,,ON,3,M,M,2010-03-03 00:00:00,,,5.7,,,,2.5,,0,,M,6158359.2010.3.3,2010,15.5,,TORONTO CITY CENTRE,3,
-79.39611111111111,43.6275,6158359,,,-1.4,0,,,,,44,,ON,4,M,M,2010-03-04 00:00:00,,,4.7,,,,1.7,,0,,M,6158359.2010.3.4,2010,16.3,,TORONTO CITY CENTRE,3,
-79.39611111111111,43.6275,6158359,,,-2.6,0,,,,,37,,ON,5,M,M,2010-03-05 00:00:00,,,5.2,,,,1.3,,0,,M,6158359.2010.3.5,2010,16.7,,TORONTO CITY CENTRE,3,
-79.39611111111111,43.6275,6158359,,,-1.4,0,,,,,33,,ON,6,M,M,2010-03-06 00:00:00,,,8.4,,,,3.5,,0,,M,6158359.2010.3.6,2010,14.5,,TORONTO CITY CENTRE,3,
-79.39611111111111,43.6275,6158359,,,0.3,0,,,,,41,,ON,7,M,M,2010-03-07 00:00:00,,,11.4,,,,5.9,,0,,M,6158359.2010.3.7,2010,12.1,,TORONTO CITY CENTRE,3,
-79.39611111111111,43.6275,6158359,,,0.5,0,,,,,41,,ON,8,M,M,2010-03-08 00:00:00,,,15.3,,,,7.9,,0,,M,6158359.2010.3.8,2010,10.1,,TORONTO CITY CENTRE,3,
-79.39611111111111,43.6275,6158359,,,-0.2,0,0,,,,0,,ON,9,,M,2010-03-09 00:00:00,,,10.4,,,,5.1,,0,,M,6158359.2010.3.9,2010,12.9,,TORONTO CITY CENTRE,3,
