x,y,ID,DIRECTION_MAX_GUST,MIN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS_FLAG,TOTAL_RAIN_FLAG,MAX_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST_FLAG,MAX_TEMPERATURE,TOTAL_SNOW_FLAG,MIN_REL_HUMIDITY,MAX_TEMPERATURE_FLAG,MAX_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE_FLAG,STATION_NAME,LOCAL_YEAR,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,MIN_TEMPERATURE,SPEED_MAX_GUST,CLIMATE_IDENTIFIER,TOTAL_PRECIPITATION_FLAG,LOCAL_DAY,SNOW_ON_GROUND,COOLING_DEGREE_DAYS,TOTAL_RAIN,HEATING_DEGREE_DAYS,PROVINCE_CODE,LOCAL_DATE,LOCAL_MONTH
-113.4441675,52.98027972222222,3017282.2007.9.1,,,13.6,16.1,,,,,,19.6,,,,,,,,WETASKIWIN AGCM,2007,,,7.6,,3017282,,1,0,0,,4.4,AB,2007-09-01 00:00:00,9
-113.4441675,52.98027972222222,3017282.2007.9.2,,,14.2,0,,,,,,22,,,,,,,,WETASKIWIN AGCM,2007,,,6.4,,3017282,,2,0,0,,3.8,AB,2007-09-02 00:00:00,9
-113.4441675,52.98027972222222,3017282.2007.9.3,,,15.7,0,,,,,,21,,,,,,,,WETASKIWIN AGCM,2007,,,10.4,,3017282,,3,0,0,,2.3,AB,2007-09-03 00:00:00,9
-113.4441675,52.98027972222222,3017282.2007.9.4,,,14.9,0,,,,,,21,,,,,,,,WETASKIWIN AGCM,2007,,,8.7,,3017282,,4,0,0,,3.1,AB,2007-09-04 00:00:00,9
-113.4441675,52.98027972222222,3017282.2007.9.5,,,13.2,10.8,,,,,,20.9,,,,,,,,WETASKIWIN AGCM,2007,,,5.4,,3017282,,5,0,0,,4.8,AB,2007-09-05 00:00:00,9
-113.4441675,52.98027972222222,3017282.2007.9.6,,,8.7,0.5,,,,,,15.2,,,,,,,,WETASKIWIN AGCM,2007,,,2.2,,3017282,,6,0,0,,9.3,AB,2007-09-06 00:00:00,9
-113.4441675,52.98027972222222,3017282.2007.9.7,,M,,,M,,,M,,,,,M,,M,,M,WETASKIWIN AGCM,2007,,,,,3017282,M,7,,,,,AB,2007-09-07 00:00:00,9
-113.4441675,52.98027972222222,3017282.2007.9.8,,,8.1,8.5,,,,,,14.9,,,,,,,,WETASKIWIN AGCM,2007,,,1.3,,3017282,,8,0,0,,9.9,AB,2007-09-08 00:00:00,9
-113.4441675,52.98027972222222,3017282.2007.9.9,,,9.4,1.3,,,,,,18.6,,,,,,,,WETASKIWIN AGCM,2007,,,0.1,,3017282,,9,0,0,,8.6,AB,2007-09-09 00:00:00,9
-113.4441675,52.98027972222222,3017282.2007.9.10,,,14.1,0,,,,,,20,,,,,,,,WETASKIWIN AGCM,2007,,,8.1,,3017282,,10,0,0,,3.9,AB,2007-09-10 00:00:00,9
-113.4441675,52.98027972222222,3017282.2007.9.11,,,15.8,4.3,,,,,,24.2,,,,,,,,WETASKIWIN AGCM,2007,,,7.4,,3017282,,11,0,0,,2.2,AB,2007-09-11 00:00:00,9
-113.4441675,52.98027972222222,3017282.2007.9.12,,,4.9,0.9,,,,,,11,,,,,,,,WETASKIWIN AGCM,2007,,,-1.2,,3017282,,12,0,0,,13.1,AB,2007-09-12 00:00:00,9
-113.4441675,52.98027972222222,3017282.2007.9.13,,,5.9,0.4,,,,,,16,,,,,,,,WETASKIWIN AGCM,2007,,,-4.3,,3017282,,13,0,0,,12.1,AB,2007-09-13 00:00:00,9
-113.4441675,52.98027972222222,3017282.2007.9.14,,,10.5,0,,,,,,22.8,,,,,,,,WETASKIWIN AGCM,2007,,,-1.8,,3017282,,14,0,0,,7.5,AB,2007-09-14 00:00:00,9
-113.4441675,52.98027972222222,3017282.2007.9.15,,,13.4,0,,,,,,24.7,,,,,,,,WETASKIWIN AGCM,2007,,,2.1,,3017282,,15,0,0,,4.6,AB,2007-09-15 00:00:00,9
-113.4441675,52.98027972222222,3017282.2007.9.16,,,12.5,1.2,,,,,,24.6,,,,,,,,WETASKIWIN AGCM,2007,,,0.3,,3017282,,16,0,0,,5.5,AB,2007-09-16 00:00:00,9
-113.4441675,52.98027972222222,3017282.2007.9.17,,,8.7,4.5,,,,,,15.3,,,,,,,,WETASKIWIN AGCM,2007,,,2.1,,3017282,,17,0,0,,9.3,AB,2007-09-17 00:00:00,9
-113.4441675,52.98027972222222,3017282.2007.9.18,,M,,,M,,,M,,,,,M,,M,,M,WETASKIWIN AGCM,2007,,,,,3017282,M,18,,,,,AB,2007-09-18 00:00:00,9
-113.4441675,52.98027972222222,3017282.2007.9.19,,,3.3,0,,,,,,10.4,,,,,,,,WETASKIWIN AGCM,2007,,,-3.9,,3017282,,19,0,0,,14.7,AB,2007-09-19 00:00:00,9
-113.4441675,52.98027972222222,3017282.2007.9.20,,,8.7,4,,,,,,14.9,,,,,,,,WETASKIWIN AGCM,2007,,,2.4,,3017282,,20,0,0,,9.3,AB,2007-09-20 00:00:00,9
-113.4441675,52.98027972222222,3017282.2007.9.21,,,8.5,0,,,,,,15.9,,,,,,,,WETASKIWIN AGCM,2007,,,1.1,,3017282,,21,0,0,,9.5,AB,2007-09-21 00:00:00,9
